FMP	FPP
0.0037	7e-04
2e-04	0
4e-04	0
0	0
0.004	5e-04
3e-04	0
5e-04	1e-04
5e-04	1e-04
0	0
0.0511	0.007
0.0088	0.0022
0.003	0.001
1e-04	0
0.0056	9e-04
0.0018	0
3e-04	0
0	0
0.0065	0.0013
5e-04	1e-04
0.0904	0.0164
0.0051	0.001
0.003	6e-04
0.0089	0.0022
7e-04	1e-04
0.0025	1e-04
0	0
0.0509	0.0083
0.0908	0.0143
0.0186	0.0026
0	0
4e-04	0
0	0
0	1e-04
0.0446	0.0075
0.0013	2e-04
0.0111	0.0022
0.0055	0.001
0.0018	8e-04
4e-04	0
0.0018	2e-04
0.0141	0.002
1e-04	0
1e-04	0
0	1e-04
3e-04	1e-04
0.0087	0.0023
6e-04	0
0.0039	4e-04
0	0
4e-04	1e-04
0.0032	6e-04
0.0678	0.0106
0.3693	0.0709
0.0045	0.0013
0.0057	0.0017
1e-04	0
0	0
4e-04	1e-04
0.0305	0.0072
6e-04	2e-04
0.0015	5e-04
0.0046	4e-04
0.0015	0.001
0.0024	0.001
0	0
0.0025	0.0011
0.0166	0.0028
9e-04	1e-04
0.0373	0.0051
0.0288	0.0058
0.0021	7e-04
1e-04	0
7e-04	0
0	0
0.0029	4e-04
0.0026	4e-04
0.0285	0.0059
0.004	6e-04
0	0
0	0
0.0098	0.0023
3e-04	2e-04
3e-04	0
0.0026	2e-04
0.0533	0.0092
0.0012	1e-04
0	0
0.0149	0.0027
0.0033	9e-04
0.0334	0.0082
0.0943	0.0149
2e-04	1e-04
0.0148	0.0022
4e-04	0
0.0144	0.0026
0.0014	3e-04
2e-04	0
0.0099	0.0021
0.0094	0.0016
0.008	0.0014
0.0088	8e-04
0.0016	6e-04
5e-04	1e-04
0	0
0.0034	2e-04
3e-04	0
0.0421	0.0066
0.0679	0.0096
2e-04	0
9e-04	5e-04
0.007	9e-04
0.0021	3e-04
0.0051	0.0018
2e-04	2e-04
0.0398	0.0058
0.0014	1e-04
8e-04	1e-04
0.0082	0.0014
0.0222	0.0025
0.0343	0.0077
3e-04	1e-04
1e-04	0
0	0
0.0334	0.0052
2e-04	0
0.0058	0.0023
0	0
0	0
0	0
0.0021	2e-04
0.0078	0.0017
0.0169	0.0039
7e-04	0
0	0
3e-04	0
0.0021	0
0.0042	8e-04
0.3709	0.0671
0.0041	8e-04
0.0013	4e-04
0.0011	2e-04
0.0039	6e-04
0.1214	0.0193
0.0018	6e-04
0.0096	0.0016
0.0018	5e-04
8e-04	2e-04
2e-04	1e-04
0.0419	0.0068
1e-04	0
3e-04	3e-04
0.0137	0.0025
0.6532	0.1645
0.0367	0.0065
0	0
0.0027	0.0011
0.001	3e-04
0	0
0.0015	2e-04
6e-04	0
4e-04	0
0.0024	2e-04
0.0034	6e-04
0	0
0.0031	7e-04
0.0057	0.001
1e-04	2e-04
0.0013	4e-04
0	0
0.001	3e-04
0.0062	0.0012
2e-04	0
0.001	2e-04
0.0072	0.001
0.0037	8e-04
0.0658	0.0125
0.02	0.0047
0.2179	0.0294
5e-04	1e-04
0	0
0.008	0.0017
0.0806	0.0116
8e-04	2e-04
0.0019	2e-04
0.0021	2e-04
0	0
0.001	3e-04
3e-04	2e-04
1e-04	2e-04
0.0271	0.0043
0.0011	5e-04
2e-04	1e-04
0.6867	0.1276
0	0
0	0
5e-04	1e-04
0.0013	1e-04
0.0075	8e-04
0.0113	6e-04
0	0
0.0026	2e-04
0.0399	0.0051
0	0
0.0022	0.0014
0.01	0.0015
3e-04	0
2e-04	0
0.0075	9e-04
0	0
0.0445	0.0101
0.0016	4e-04
0.0071	0.0018
8e-04	0
0.0431	0.0085
1e-04	0
0.2948	0.0545
0.0242	0.0048
0.0016	4e-04
0.0612	0.0083
0.0085	0.0016
0.0017	3e-04
0.0038	8e-04
3e-04	0
0.0125	0.0019
0.0198	0.004
1e-04	0
3e-04	0
2e-04	0
0.0074	0.0014
7e-04	0
4e-04	0
0	0
0.0026	0.001
0.002	4e-04
6e-04	1e-04
0	0
2e-04	2e-04
1e-04	0
0.0012	3e-04
0.0507	0.0095
4e-04	0
0.0156	0.0029
0.0018	2e-04
0.0022	4e-04
2e-04	2e-04
0.0169	0.0035
0.002	7e-04
5e-04	3e-04
5e-04	3e-04
5e-04	6e-04
0	0
1e-04	0
8e-04	0
0	0
0.0292	0.0041
0.0063	9e-04
0.0884	0.0126
0.044	0.0064
0.004	2e-04
0.0076	0.0012
0.0093	0.0018
0.0052	8e-04
9e-04	0
0.039	0.0063
0.0045	1e-04
0.0013	2e-04
0.077	0.0133
0.0275	0.006
6e-04	0
0	0
0.0013	1e-04
0.0256	0.0041
0.0044	7e-04
0.0124	0.0021
2e-04	1e-04
0.0052	0.001
0.0401	0.0081
3e-04	1e-04
0.0024	7e-04
1e-04	0
1e-04	0
3e-04	0
0.0062	0.0012
0	2e-04
0.0011	1e-04
4e-04	5e-04
0.0138	0.0036
0.0028	7e-04
2e-04	0
1e-04	0
