FMP	FPP
0	0
0.0019	1e-04
1e-04	0
0	0
0	0
0	0
0	0
0	0
2e-04	0
0	0
0	0
0	0
0	0
0	0
3e-04	0
0	0
0	0
0	0
1e-04	1e-04
1e-04	3e-04
0	0
2e-04	1e-04
6e-04	1e-04
0	0
0	0
0	0
0	0
1e-04	0
2e-04	1e-04
2e-04	2e-04
0	0
1e-04	0
2e-04	0
0.0034	0.001
0	0
2e-04	0
3e-04	1e-04
0	0
0	3e-04
0.0137	0.0011
1e-04	0
0	1e-04
0	0
1e-04	0
4e-04	0
0.0023	0
4e-04	4e-04
0	0
1e-04	0
0	0
0	0
0	0
6e-04	0
0	0
1e-04	1e-04
0	1e-04
0	0
0	0
4e-04	0
0.0049	2e-04
0	0
0	0
0	0
0	0
0	0
0	1e-04
1e-04	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.0039	4e-04
0.002	4e-04
0	0
0	0
3e-04	0
0	1e-04
0	0
0	0
0	0
0	2e-04
0	0
0	0
0	0
0	0
0.0591	0.0103
0	0
2e-04	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
2e-04	1e-04
0	0
0	0
9e-04	4e-04
0.001	5e-04
2e-04	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5e-04	0.0017
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3e-04	0
1e-04	0
0	0
0	0
0	0
0	1e-04
0	0
0	2e-04
0	0
0	0
0	0
0	0
0.0015	2e-04
2e-04	0
0	0
1e-04	0
0	0
0	0
0	1e-04
0	0
0	0
6e-04	7e-04
0	0
4e-04	0
0	0
0	0
0	0
0	0
0	0
0	4e-04
0	0
0	0
0	3e-04
0	0
0	0
0	0
0	0
0	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1e-04	0
0	0
2e-04	0
6e-04	1e-04
0	0
0	0
4e-04	2e-04
2e-04	0
0	0
0	0
0	0
0.0056	0.0017
0	0
0	0
0	0
0	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0.0014	2e-04
0	0
0	0
0	0
4e-04	0
0	0
5e-04	3e-04
7e-04	1e-04
0	0
0	0
1e-04	0
7e-04	2e-04
0	0
0	1e-04
0.0013	1e-04
0	0
4e-04	2e-04
0	0
0	0
3e-04	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.0011	3e-04
1e-04	0
0	0
0.0018	6e-04
2e-04	0
0	0
3e-04	0
3e-04	1e-04
0	0
2e-04	0
0	1e-04
0	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
5e-04	3e-04
0	0
0	0
0	0
0	0
1e-04	0
0	0
0	0
5e-04	2e-04
0.0029	8e-04
0	0
0	0
0	0
6e-04	1e-04
0	0
0	0
2e-04	6e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
0	0
0	0
3e-04	2e-04
0	0
0	0
0	0
0	0
2e-04	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
0	0
0	0
0	0
0	0
0.0011	6e-04
0	0
0	0
0	0
0	0
0	0
0	0
2e-04	0
0	0
0	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
5e-04	3e-04
0	0
0	0
0	1e-04
0	0
0	0
0	0
0	0
0	0
3e-04	0
0	0
0.0051	0.0038
0.0018	0
0	0
0	0
0	0
0	0
0	1e-04
0	0
0	0
0	0
0.0021	2e-04
0	0
1e-04	0
0	0
0	0
0	0
1e-04	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
3e-04	0
0	0
0	0
0	0
0	0
0	0
1e-04	0
0	0
0	0
1e-04	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3e-04
0	0
0.0059	0.0012
0	0
0	1e-04
0	0
0	0
