FMP	FPP
0	3e-04
0.0991	0.0363
0.0054	0.0032
4e-04	1e-04
0.0066	0.0056
0.1315	0.0564
0.0826	0.0347
0.0084	0.0042
0.0545	0.0215
0.0053	0.0028
6e-04	1e-04
3e-04	0
0.0108	0.0034
0.0238	0.0083
0.021	0.011
0.0295	0.0134
0.0021	0.002
0.004	0.0022
0.1264	0.0584
4e-04	0.001
0.0017	7e-04
0.0022	0.0012
0.0195	0.0102
0.0014	7e-04
0.0026	0.0014
2e-04	0
3e-04	1e-04
0.0086	0.0049
0	0
0.0047	0.0028
0.0159	0.0067
0.0042	0.0031
0.0126	0.0065
0.003	0.0011
0	1e-04
0.0065	0.0025
0.0268	0.0133
0.0194	0.0098
0.0042	0.0018
0.0631	0.0264
0.0029	2e-04
0.0017	8e-04
0.018	0.0094
5e-04	0.0011
0.1674	0.0614
0.0097	0.0025
3e-04	7e-04
3e-04	0
0.0059	0.0019
0.0075	0.0037
2e-04	1e-04
3e-04	9e-04
3e-04	4e-04
0.0046	0.0028
0.0039	0.0017
0.0061	0.0027
4e-04	2e-04
0.1021	0.0398
0.0021	7e-04
7e-04	6e-04
0.001	4e-04
0	0
0.0524	0.0257
0.058	0.0242
0.0122	0.006
1e-04	2e-04
0.4368	0.1978
0	0
0.0319	0.0162
3e-04	3e-04
0	2e-04
0.0223	0.0103
0.0045	0.0014
0.0168	0.0082
8e-04	5e-04
0	0
0.0011	4e-04
0.0925	0.0375
0.0092	0.0042
7e-04	2e-04
0.009	0.0052
1e-04	1e-04
0.0011	9e-04
0.0227	0.0097
0.0022	7e-04
0	0
8e-04	0.001
1e-04	0
0	0
0.0141	0.0075
0.0624	0.0246
0	0
8e-04	2e-04
0.0013	9e-04
3e-04	0
0.0014	2e-04
0.001	5e-04
0.0112	0.004
0.0796	0.0306
0.006	0.0033
0.3596	0.1558
0.0031	0.0011
0.0167	0.0068
0.0074	0.0042
0.0083	0.004
0.0017	0.0014
0.009	0.0042
0.0013	0.0011
0.01	0.0048
0.0099	0.0027
0.0082	0.0038
0.0778	0.0294
0.0094	0.0042
0.0132	0.0057
3e-04	4e-04
0.0174	0.0078
1e-04	4e-04
0.0306	0.0154
0.015	0.0061
0.004	9e-04
0.0171	0.0069
7e-04	6e-04
0	0
0.0014	4e-04
0.003	0.002
0.1183	0.0472
0	1e-04
0.0977	0.0409
1e-04	0
0.0237	0.0132
0.0018	0.0018
0.0141	0.009
0.0247	0.0122
0.0783	0.0299
0.0637	0.0254
0.0087	0.005
0.0373	0.0204
0.0014	0.0013
6e-04	4e-04
0.1263	0.0499
1e-04	0
5e-04	1e-04
2e-04	4e-04
2e-04	1e-04
2e-04	0
0.0013	6e-04
0.2992	0.1094
1e-04	0
3e-04	1e-04
0.011	0.0061
0.0039	0.0015
0.1886	0.0703
0.0049	0.0032
0.002	0.0016
0.0762	0.0301
0.0012	1e-04
1e-04	3e-04
2e-04	0
0.0011	3e-04
0.0025	0.001
0.0644	0.0269
0	0
0.4389	0.2031
0	0
0.0047	0.002
0.0157	0.008
0.0568	0.0262
0.0155	0.0081
0.0096	0.0043
0.128	0.0461
4e-04	3e-04
0	0
6e-04	0
0.0074	0.0022
0.0064	0.0033
0.0869	0.0284
3e-04	0
3e-04	2e-04
0.0014	6e-04
0.0016	5e-04
0.012	0.0051
0.0131	0.0046
0.0015	5e-04
0.0017	9e-04
0.0122	0.0076
7e-04	2e-04
0.0019	9e-04
0.0207	0.0113
0.0047	0.0025
0	0
0.0081	0.0042
0.2551	0.0968
0.0219	0.0096
0.0684	0.0319
0	0
0.0068	0.0028
3e-04	0
6e-04	1e-04
0.6827	0.3895
0	0
0.0058	0.0011
0.0021	0.0014
0.001	3e-04
0.0172	0.0074
1e-04	1e-04
0.0049	0.003
0.0013	3e-04
0.003	0.0012
0.0028	0.0019
5e-04	3e-04
0.0168	0.0096
0.0069	0.0027
0.0011	1e-04
9e-04	5e-04
6e-04	3e-04
1e-04	2e-04
0.0021	0.0019
0.0314	0.0123
0.0019	2e-04
5e-04	6e-04
0	0
0.0495	0.0258
0.0029	0.0014
0.0011	4e-04
0.001	1e-04
0.0038	0.0015
0.0086	0.005
0.0085	0.0059
0.0113	0.0065
0.0154	0.0067
0.0018	9e-04
0.001	1e-04
0.0082	0.0039
6e-04	5e-04
6e-04	5e-04
1e-04	0
0.0771	0.0314
0.0643	0.03
0.0694	0.0271
7e-04	5e-04
0.003	0.0014
5e-04	4e-04
9e-04	3e-04
9e-04	1e-04
0	1e-04
0.1305	0.0506
3e-04	0
0.0061	0.0033
3e-04	3e-04
0	3e-04
0.0101	0.0056
0.0011	5e-04
0.7318	0.3614
0.005	0.002
1e-04	2e-04
0.0084	0.0039
0.0019	0.0018
0.001	3e-04
0.0582	0.0234
0.0338	0.0159
0.003	0.0023
0	0
6e-04	4e-04
0.0047	0.0026
0	0
0.0208	0.0095
0.0031	5e-04
0.0018	0.0011
0	0
0.0846	0.0286
0.0963	0.0384
0.0044	0.0024
0.0046	0.0024
0.0147	0.0063
1e-04	0
1e-04	3e-04
0.0431	0.0174
0.065	0.0274
0.0026	9e-04
0.0021	1e-04
0.1119	0.0481
0.0057	0.0016
0.0017	8e-04
0.001	0
0.0011	2e-04
0	0
0.0016	0.001
0.0039	0.0023
0.0036	0.001
0.0181	0.009
6e-04	3e-04
0.0112	0.0059
0.0029	0.0017
0.1846	0.0828
0.0955	0.0411
0.0596	0.0273
0.0066	0.0035
0.0181	0.0078
2e-04	1e-04
0.0024	0.0017
0.001	0.0012
0.0013	3e-04
0	2e-04
2e-04	1e-04
0.0415	0.0171
0.0045	0.0016
0.0012	2e-04
9e-04	4e-04
0.0527	0.024
6e-04	0
2e-04	2e-04
0.0133	0.0064
0.0676	0.0279
6e-04	2e-04
7e-04	1e-04
0.0024	5e-04
2e-04	2e-04
0.0038	0.0015
0	0
0.0459	0.019
3e-04	2e-04
0.0011	4e-04
0.0056	0.0021
0.0095	0.0042
0.0155	0.0068
1e-04	0
0.0085	0.0024
0	0
0	0
0	0
0.0257	0.0103
2e-04	0
6e-04	2e-04
8e-04	6e-04
0	0
0	0
0.0113	0.0046
0.0021	0
0.0854	0.0361
0	0
0.0013	5e-04
0.0259	0.0112
0.0017	5e-04
0.0069	0.0026
0.0319	0.0109
0.0052	0.0036
0.0016	5e-04
0.0025	4e-04
0.0019	0.0016
0	0
0.0025	0.0014
1e-04	0
0.0034	0.0012
0.0023	0.0012
0.0091	0.0055
0.0462	0.0185
8e-04	5e-04
0.0011	8e-04
0.0107	0.0037
0.0013	1e-04
0.0091	0.0049
0.0107	0.0063
0.0094	0.0034
0.0356	0.0136
0.0836	0.0376
1e-04	0
5e-04	1e-04
0.0014	0.001
0.0011	6e-04
0.0032	0.0015
0.0173	0.0078
0.003	7e-04
0.0081	0.0046
7e-04	3e-04
0.0162	0.0069
0.0056	0.0033
0.0096	0.0039
0	0
0.0468	0.0206
2e-04	0
8e-04	1e-04
0.0042	0.0021
0	2e-04
0.0021	8e-04
0.0054	0.0024
0.0506	0.0233
0.0509	0.0227
0.001	3e-04
0.0095	0.0047
0.219	0.0832
0.0024	0.001
8e-04	7e-04
0.0432	0.0207
0.005	0.0019
0.0075	0.0034
0.5778	0.2372
0	0
9e-04	5e-04
0.0723	0.0271
5e-04	4e-04
7e-04	8e-04
0.0454	0.0185
0.0149	0.0064
0.0084	0.0051
0.0106	0.0056
0.0339	0.013
0.1464	0.0588
0.0143	0.0049
0.0041	0.0025
0.0044	0.0022
5e-04	1e-04
0.0041	0.0025
0.0829	0.0354
6e-04	9e-04
6e-04	4e-04
0.0031	0.0017
0.0021	0.0018
0.0029	9e-04
3e-04	2e-04
0.0023	0.0012
0.0357	0.0158
1e-04	1e-04
4e-04	2e-04
0.0019	8e-04
0	2e-04
0	0
0.0201	0.0108
0.0016	0.0016
0	0
0.2141	0.0836
0.0382	0.0159
0	2e-04
0	0
0.0017	0.001
0.0052	0.0019
0.0286	0.0153
0.0153	0.0081
0.0211	0.0066
0.0022	0.0013
0.0019	8e-04
8e-04	3e-04
0.0266	0.0129
0.0406	0.0171
0	0
0	0
2e-04	1e-04
3e-04	2e-04
0.0243	0.0103
0.1142	0.0454
0.001	0
0	0
0.0132	0.0059
0.0238	0.0079
3e-04	0.0017
0.1701	0.0692
0.0275	0.0136
0.0423	0.0191
0.0019	0.001
0.002	6e-04
0.0144	0.0087
0.0553	0.021
0.0011	4e-04
0.0083	0.0035
0.3416	0.1466
9e-04	0.0012
0.0011	0.0017
0.0011	4e-04
0.0036	0.0021
0.0217	0.011
0.3636	0.1736
0	0
2e-04	0
0	0
0.0026	9e-04
0.0822	0.0345
0.0431	0.0197
0.0863	0.0344
0.0063	0.0034
0.0214	0.0087
0.0195	0.009
0.1533	0.0629
0.0013	6e-04
0.022	0.0124
0	0
0.0227	0.0131
0.0011	9e-04
0.0038	0.0014
1e-04	0
0.0226	0.0101
0.0066	0.0027
0.0116	0.0047
0	1e-04
0.4199	0.1623
5e-04	3e-04
6e-04	4e-04
0	2e-04
3e-04	1e-04
7e-04	1e-04
0.0016	6e-04
0.003	0.0013
0.0022	9e-04
0.0022	6e-04
0.0021	4e-04
0.0107	0.0046
9e-04	3e-04
0	0
0	0
0.019	0.01
0.0255	0.011
3e-04	1e-04
0.0081	0.004
0	0
0	1e-04
0	1e-04
4e-04	1e-04
0.0018	8e-04
0.0038	0.0014
0.0021	0.0013
2e-04	3e-04
0	0
0.0026	0.0014
0.0017	9e-04
0.002	7e-04
0.0302	0.0148
0.0022	6e-04
0.003	6e-04
4e-04	9e-04
0.015	0.008
0.0063	0.0027
0.0076	0.0034
7e-04	1e-04
0	0
0.3294	0.134
1e-04	0
0.0804	0.0342
0.0027	7e-04
0	0
0.0102	0.0061
0.0181	0.007
0.1181	0.0521
0.0038	0.0024
0.0284	0.012
0.0019	9e-04
0.0049	0.0015
0.009	0.0038
0.0036	0.0022
0.0047	0.0024
0.0042	8e-04
6e-04	6e-04
0.0013	4e-04
0.2633	0.1078
0	0
0.0127	0.0065
0.0014	1e-04
0.0186	0.0103
0.0109	0.0044
0	0
0	0
0.0954	0.0395
0.0071	0.0044
1e-04	0
2e-04	0
0	0
0.0114	0.0075
0.0806	0.0334
0	1e-04
0.0029	0.0025
9e-04	0.0011
0.0086	0.0036
0	2e-04
0	0
0.0221	0.0075
0	0
1e-04	0
0.0054	0.0018
0.0455	0.0207
3e-04	1e-04
0.0101	0.004
0.0845	0.0318
0.0754	0.0285
0.0036	0.0021
1e-04	0
0.0191	0.0101
0.009	0.004
0.0017	0.0011
0.0034	0.0013
0.0509	0.0174
1e-04	0
0.0068	0.0033
0.0029	0.002
8e-04	8e-04
0.0018	6e-04
0.095	0.0363
0.0014	0.001
0.0257	0.0114
0.0378	0.0171
0.0332	0.0117
0.0123	0.0042
0.0437	0.0176
3e-04	3e-04
0.0152	0.0068
0.0159	0.0089
2e-04	0
4e-04	1e-04
0.0153	0.0053
0	0
0.0274	0.0107
2e-04	0
1e-04	1e-04
0.062	0.0271
0.0053	0.0018
0.0304	0.0132
0.01	0.0049
2e-04	2e-04
3e-04	1e-04
0.0077	0.0055
0.0088	0.0033
0.0476	0.0232
0.005	0.0023
0.0022	7e-04
0	0
9e-04	4e-04
6e-04	0
0	1e-04
0.0076	0.0036
0.0048	0.0027
2e-04	1e-04
0.0096	0.0046
5e-04	6e-04
0.0089	0.0057
0	1e-04
0.0034	0.0016
0.0046	0.0016
0.0168	0.0067
0.0104	0.0038
1e-04	0
0.0089	0.003
5e-04	5e-04
0.0091	0.0047
0.0049	0.0033
0.0184	0.0091
6e-04	3e-04
0.0062	0.0028
0	0
0.0086	0.0033
0.0033	0.0013
1e-04	2e-04
0.0012	3e-04
0.0098	0.0039
0	0
0	0
0.0054	0.0026
0.0021	5e-04
0.0021	8e-04
1e-04	0
8e-04	0
0.0127	0.0057
0.0034	9e-04
0.1805	0.0731
0.0547	0.0218
5e-04	1e-04
1e-04	0
0.0225	0.0091
2e-04	0
0.001	0
0.0066	0.0039
2e-04	1e-04
0	1e-04
0.0343	0.0154
1e-04	0
0.0021	0.0011
0.0053	0.0038
0.0041	0.0023
0.0124	0.0042
0.0034	0.0013
0	0
0.0079	0.0034
0	0
0.0217	0.0079
0.0011	2e-04
0	2e-04
0.0036	0.0015
0.001	5e-04
4e-04	2e-04
0.0056	0.0021
0.0078	0.0043
0.0027	9e-04
0.0019	0.001
0.0094	0.0043
0.0122	0.0048
3e-04	3e-04
0.0031	9e-04
0.02	0.0101
0.0019	0.0012
0.0014	6e-04
4e-04	1e-04
7e-04	9e-04
2e-04	0
0.0014	9e-04
0.0075	0.0039
0.0108	0.0053
1e-04	0
0.3001	0.1245
2e-04	2e-04
3e-04	5e-04
0.0014	0.0012
3e-04	0
0.0028	0.0014
0.001	3e-04
0.001	3e-04
0.0079	0.0024
0.093	0.0418
4e-04	2e-04
0.0022	6e-04
0.002	0.0013
1e-04	0
2e-04	0
0	0
5e-04	2e-04
0.0069	0.0026
0.0145	0.0096
0.0111	0.0055
0	0
0	0
0.0096	0.004
0.0511	0.0244
0.0057	0.0025
0.0051	0.0021
0.0562	0.0257
0.1071	0.0418
6e-04	5e-04
0.0062	0.0018
6e-04	3e-04
0.1264	0.0546
0.0325	0.0156
0.0702	0.0273
0.0849	0.0333
7e-04	4e-04
2e-04	0
0	0
0.0027	9e-04
0.036	0.0149
0.018	0.0089
0.0061	0.0016
0.0687	0.0259
0.0034	0.0019
0.0219	0.0114
3e-04	0
0.0033	0.0014
1e-04	1e-04
0.1719	0.0653
0.001	8e-04
0.0074	0.0033
0.0048	0.0022
0	0
0.0027	0.0018
0.0162	0.0087
0.0025	0.0023
2e-04	0
0.0034	0.0025
0.0112	0.0058
0	0
0.1842	0.0717
0.0029	0.0033
1e-04	0
0.0022	0.0018
0.0029	0.0018
0	2e-04
0.004	0.001
0.0299	0.0154
0	0
0.001	5e-04
0.007	0.0042
0	0
0.0059	0.0034
0.0052	0.0038
1e-04	3e-04
0.0138	0.0038
4e-04	1e-04
1e-04	0
0.0094	0.0058
0.0024	5e-04
0.0557	0.0244
0.0219	0.0117
1e-04	0
0.3392	0.1516
0.0072	0.0051
6e-04	0
0.0375	0.0182
0.1251	0.0502
0.0036	4e-04
0.0234	0.0138
1e-04	0
0.0102	0.0048
0.0051	0.0012
0	3e-04
0.0023	0.0011
8e-04	1e-04
0.0233	0.0119
0.0012	1e-04
0.0083	0.0026
0.0214	0.0082
3e-04	0
0.0086	0.0042
0.0037	0.0031
0.0032	0.0023
0.0013	0
0.1658	0.0636
0.0038	0.0017
0.0031	0.0016
0.1803	0.0693
0.0235	0.014
0.0012	8e-04
0.0053	0.0021
0.0116	0.0051
0.016	0.0072
0	0
2e-04	0
0.001	6e-04
1e-04	2e-04
5e-04	1e-04
0.0202	0.0087
0	1e-04
0	0
0.001	0
0.006	0.0038
7e-04	6e-04
0.0251	0.0099
0.0711	0.0259
0.0393	0.017
0	0
0.0743	0.0348
0	0
0.0057	0.0038
3e-04	4e-04
0.0594	0.0279
0	1e-04
0.0021	0.001
3e-04	0
0.0023	0.0012
5e-04	0.0012
0.009	0.0039
0.021	0.0092
0.0599	0.0207
0	0
0.001	2e-04
0.0091	0.0046
1e-04	3e-04
2e-04	1e-04
8e-04	0
0	0
0.0384	0.0152
0	0
0.1052	0.043
0.0029	0.0029
0.0847	0.0355
0.0034	0.0025
0.0013	8e-04
0.0102	0.0068
0.1112	0.0483
0.0381	0.0145
1e-04	0
0.0527	0.0269
0	0
0.0052	0.0024
0.0022	7e-04
0.0016	6e-04
8e-04	3e-04
0.1508	0.0564
0.0112	0.0058
0.0126	0.0049
0.0014	5e-04
0	0
0	0
8e-04	5e-04
0	0
0	0
0.1567	0.0607
8e-04	1e-04
1e-04	0
0.0208	0.0091
0.0017	0.0011
0.0219	0.011
0.0104	0.0058
0.0021	0.0012
0.0139	0.0068
8e-04	4e-04
0.3825	0.1667
1e-04	0
0.0888	0.0376
0.0131	0.0074
4e-04	1e-04
0.0055	0.0025
0.0041	0.0028
0.0067	0.0022
0.0015	7e-04
0	0
0.0044	0.0025
5e-04	1e-04
5e-04	1e-04
0.0073	0.0043
0.0129	0.0086
0.0284	0.0137
6e-04	6e-04
0.0028	0.0011
0	0
7e-04	3e-04
0.0076	0.0023
0	0
2e-04	1e-04
0	1e-04
0.0071	0.0052
0.0052	0.002
9e-04	0.0015
0.0061	0.0013
4e-04	2e-04
0	0
0.0012	0.0012
0.0323	0.0138
0.0011	9e-04
0.0957	0.0392
4e-04	5e-04
0.434	0.1764
0	1e-04
0.0482	0.018
0.0045	0.0018
0.002	7e-04
0.0088	0.0038
6e-04	7e-04
3e-04	3e-04
0.0025	0.0014
0.1248	0.0512
0.0222	0.0114
0.055	0.0217
0.0496	0.0228
2e-04	6e-04
0.1051	0.0421
0.0475	0.0204
0.0049	0.0037
0.0394	0.0203
0.0057	0.0032
5e-04	5e-04
0.0094	0.0037
7e-04	4e-04
0	0
0.0117	0.0051
3e-04	5e-04
9e-04	2e-04
0.0057	0.0031
0.0013	0.001
0.0019	7e-04
0.001	0.0012
2e-04	1e-04
0	0
0.1508	0.0617
0.0016	3e-04
0.0418	0.0186
0.0065	0.0046
0.0349	0.0136
0.056	0.024
0.0712	0.0289
0.0823	0.0376
0.0623	0.0287
0.0241	0.0119
0.5275	0.2595
0.0205	0.0089
0	0
0.0799	0.0317
0.0386	0.0176
0.0181	0.0071
0.048	0.0202
0.0153	0.0061
1e-04	1e-04
7e-04	0.0014
0.0117	0.0077
0.0053	0.0037
0.2717	0.1161
2e-04	0
0.0013	3e-04
0.0149	0.0088
0.2742	0.1125
0.0185	0.0069
0.0221	0.0103
1e-04	0
1e-04	0
1e-04	1e-04
0.0042	0.003
0.0044	0.0022
0.0014	5e-04
0.0023	9e-04
0	0
3e-04	0
0.0138	0.0079
0.015	0.0074
1e-04	0
0	0
0.0096	0.0046
0.0911	0.0381
0.0045	0.0016
1e-04	1e-04
