FMP	FPP
0.0096	0.0089
5e-04	7e-04
0.1261	0.0805
0.1478	0.1064
0.0064	0.0043
0.0065	0.0074
0.0011	5e-04
0.0012	0.001
2e-04	0
0	0
6e-04	6e-04
0	0
0.1648	0.1095
0.0053	0.0037
0.0059	0.0061
0.0478	0.0313
4e-04	0.0011
0.0147	0.0075
8e-04	3e-04
7e-04	0.0011
0.0355	0.0252
4e-04	4e-04
0.005	0.0063
0.0335	0.025
0.1986	0.1122
0.0263	0.0134
0.0088	0.006
0.1026	0.0646
3e-04	3e-04
0	0
0.008	0.0049
1e-04	0
0.0212	0.0147
0.0285	0.0209
0.0312	0.0178
6e-04	9e-04
4e-04	2e-04
0	0
0	2e-04
0	0
0.0126	0.0061
0.0011	0.0015
0.1354	0.0881
0.466	0.3323
7e-04	9e-04
0.0012	5e-04
0.044	0.0311
0.0019	9e-04
0	0
0	1e-04
0.0052	0.006
0.0075	0.0044
0	0
3e-04	7e-04
0.0106	0.007
0.0023	0.0014
6e-04	5e-04
0.0024	0.0023
0.0335	0.02
0.0041	0.0029
0.0102	0.0084
0.0284	0.0205
0.0118	0.0075
0.0226	0.015
0.0011	7e-04
0.0138	0.0096
0.0132	0.0087
0.0014	0.0011
0.0244	0.0163
1e-04	3e-04
0.0219	0.0163
0.0037	0.0016
0.0029	0.0012
0.119	0.0756
0.0082	0.0067
0.1162	0.0725
6e-04	3e-04
0	0
0.0015	5e-04
0.005	0.0016
0.074	0.0477
0.008	0.0076
0.0803	0.0496
0.0231	0.0152
0.0829	0.0526
9e-04	2e-04
0.0215	0.0179
0.0792	0.0531
0	0
0.001	4e-04
0.0011	0.0014
0.0093	0.0057
0.0036	0.0025
0.0018	6e-04
0.0141	0.0099
9e-04	0
0.0801	0.0493
0.0035	0.0028
0.0029	0.0032
0.0099	0.0093
6e-04	0.001
2e-04	6e-04
0.0989	0.0624
0.0015	9e-04
0	1e-04
1e-04	0
0.3802	0.2644
0	2e-04
0.0036	0.0017
0.038	0.0236
0.0019	6e-04
0.0262	0.0184
0.0056	0.0041
0.089	0.06
0.1035	0.0631
5e-04	9e-04
0.0245	0.0172
0.0016	0.0024
0.0073	0.0074
0.0803	0.0489
0.0205	0.0141
0	2e-04
0.0023	0.0026
8e-04	5e-04
0.1486	0.0955
0.0028	0.0015
0.0014	4e-04
0.1657	0.1032
0.0119	0.0077
0.0247	0.0134
0.0222	0.0149
2e-04	1e-04
5e-04	5e-04
5e-04	1e-04
0.0017	0.0011
1e-04	3e-04
0.0052	0.0033
0.0453	0.03
0.0054	0.0024
0.0018	0.001
0.2326	0.1429
0.0039	0.0028
0.008	0.0052
0.015	0.0082
0.0027	0.0024
2e-04	0
2e-04	0
0.0051	0.005
3e-04	6e-04
0.0041	0.0033
0.0023	0.001
2e-04	0
0.0039	0.0034
0	0
0.0517	0.0317
1e-04	0
0.0217	0.0137
0	0
0.1032	0.0694
0.0124	0.0113
3e-04	7e-04
9e-04	0.0012
9e-04	0.0016
0.0383	0.0265
0	0
0.008	0.0096
0.0091	0.0061
0.0153	0.0123
0.001	7e-04
0.3477	0.2224
0	3e-04
0.0012	0.002
4e-04	4e-04
0.4722	0.3339
0.0029	0.0023
0.0028	0.0011
0.0154	0.0136
0.0163	0.0133
0.0011	4e-04
0.0133	0.0078
0.0087	0.0059
0.095	0.0543
2e-04	0
0.0472	0.0288
0.1366	0.0898
0.002	0.0011
0.005	0.0023
0.0076	0.0055
0.0015	0.0015
0.0063	0.0045
0.0091	0.0061
2e-04	1e-04
1e-04	3e-04
1e-04	1e-04
0.0012	0.0012
9e-04	0.0012
0.0044	0.0038
0	0
0.0152	0.0117
4e-04	1e-04
2e-04	0
0.0222	0.0134
0.0951	0.066
0.0156	0.012
5e-04	6e-04
0.0071	0.0044
0.0071	0.0048
0.0971	0.0632
0.0246	0.0214
0.0909	0.0598
0.0136	0.0059
0.0045	0.0041
0.0171	0.0126
1e-04	1e-04
8e-04	1e-04
0.029	0.0159
0.0032	0.0027
0.0017	0.0021
3e-04	5e-04
0.0068	0.0057
1e-04	2e-04
2e-04	4e-04
0.0611	0.0449
0	0
0.0799	0.0555
0.0032	0.0019
0.0029	0.0013
0.0203	0.0137
0.006	0.0046
0.1152	0.0839
0	0
0.0298	0.0191
0	0
0.0887	0.0562
2e-04	1e-04
0.0067	0.005
0.0078	0.0069
0.0023	6e-04
0.1055	0.064
0.7083	0.5389
9e-04	0.001
0.07	0.0464
0.002	0.0017
0.0015	5e-04
0.0339	0.0205
0.017	0.0135
8e-04	9e-04
0.045	0.0303
0.0286	0.0179
0.0133	0.0081
0.0024	0.001
0	0
0.0131	0.0086
0.0123	0.0085
0.0025	0.001
0.012	0.0099
0.001	6e-04
0.0035	0.0032
0.0124	0.0084
0.0018	9e-04
0.1608	0.0984
0.0021	0.002
0.0082	0.0062
0.3008	0.1788
0.0047	0.0039
0.0033	0.0037
0.0345	0.0251
0.1194	0.0718
0.0016	4e-04
0	0
0.0712	0.0478
0	1e-04
0.0784	0.0494
5e-04	5e-04
0	5e-04
0	0
0.0253	0.0174
0.0602	0.0449
0.0298	0.0208
0.757	0.5621
2e-04	1e-04
0.3871	0.2771
0	1e-04
0.0068	0.0056
0.0174	0.0107
0.2288	0.1522
0.1384	0.0888
0.0127	0.0114
0.0036	0.0019
0.0128	0.0085
0.0162	0.0099
0.0044	0.0039
0.0154	0.011
0.0017	9e-04
0.0064	0.0058
0	0
0	0
0.009	0.0091
0.006	0.0033
6e-04	3e-04
0.0958	0.0614
0.0022	0.0021
0.0039	0.0018
0	0
0.0607	0.0359
0.0017	0.0012
8e-04	5e-04
0.0604	0.0405
0.0107	0.0092
0.0195	0.0144
0.0826	0.0446
0.0013	0.0013
0.0438	0.0277
0.0277	0.0145
0.005	0.0056
0.0035	0.0029
0.0013	6e-04
1e-04	3e-04
0.001	0.001
3e-04	8e-04
0.0562	0.0413
0.0154	0.0078
5e-04	1e-04
2e-04	0.001
0.0033	0.0044
0.0022	0.0014
0.0042	0.0019
0.0038	0.0019
0.022	0.0155
0.0191	0.0113
0.0081	0.0067
0.002	0.0021
0	1e-04
0.0012	7e-04
5e-04	1e-04
0.0134	0.0092
0.0098	0.0066
1e-04	0
0	0
4e-04	5e-04
6e-04	0.0011
0.0757	0.0447
0.0225	0.0161
0.003	0.0024
0.0525	0.0329
0.0402	0.0243
3e-04	4e-04
7e-04	0
0.0027	0.0021
9e-04	4e-04
0.016	0.0104
0.1005	0.0713
1e-04	0
0.0184	0.014
0.0454	0.0286
0.0056	0.0048
0.0035	0.0028
0.0013	0.0011
0.0145	0.0112
0.0031	0.0024
0.0048	0.003
4e-04	5e-04
0.0013	0
4e-04	1e-04
0.0062	0.0047
0.0021	0.0011
0.0524	0.0354
1e-04	0
0.0045	0.0031
6e-04	4e-04
0.0016	0.0011
0.0106	0.0089
0.0024	0.0011
0	1e-04
0.0034	0.0017
0.0077	0.0079
0.0019	0.0014
0.0667	0.0401
0	0
0.016	0.0097
0.0014	0.0012
0.0043	0.003
0.0012	2e-04
2e-04	4e-04
0.0204	0.015
0.0045	0.0027
0.0405	0.0263
0.0221	0.0142
0.0091	0.0066
0	0
0.0041	0.0037
0.0114	0.0062
0.0015	0.002
1e-04	0
0.1255	0.0839
0.0068	0.003
0.0651	0.0444
2e-04	0
0.019	0.0146
0.1107	0.0775
0.005	0.0045
0.4505	0.2992
0.0337	0.0215
0.0014	6e-04
0.0061	0.0055
0.0034	0.0021
0.0011	8e-04
0.0231	0.0156
0.2068	0.1356
0.0013	7e-04
0.0011	7e-04
0.0049	0.0047
0.0039	0.0035
0.116	0.0661
0.0049	0.0023
0.0037	0.0023
0.0019	3e-04
9e-04	6e-04
0.0352	0.0222
0.038	0.0244
5e-04	3e-04
0.2752	0.1652
7e-04	1e-04
0.0087	0.0065
0.0234	0.0146
0.0015	6e-04
0.022	0.0138
0.022	0.0147
0.0058	0.0046
0.0029	0.0018
0.1115	0.0692
0.003	0.0022
0.0041	0.0031
2e-04	1e-04
4e-04	1e-04
0.1366	0.0945
0.002	0.0027
0.0025	0.0019
0.6077	0.4153
0.0025	8e-04
0.0499	0.0346
0.0058	0.0045
0	0
0.0046	0.0034
0.0374	0.0277
4e-04	5e-04
5e-04	9e-04
0	0
0.0121	0.0065
1e-04	0
0	0
0.0021	0.0019
6e-04	7e-04
0.0047	0.0028
0.0442	0.0316
0	1e-04
3e-04	0
0.0945	0.0569
0.0035	0.0025
5e-04	0.0014
3e-04	6e-04
1e-04	0
1e-04	1e-04
7e-04	5e-04
0	0
0.0145	0.0113
0.0151	0.0096
0.0172	0.0102
