FMP	FPP
0.0022	0
0	0
0.0154	9e-04
0.0227	9e-04
0.0018	0
0.0039	2e-04
7e-04	1e-04
0	0
0.0039	2e-04
0	0
3e-04	0
0.0471	0.0016
1e-04	0
0	0
0.0011	0
0.0016	0
0	0
0	0
0	0
5e-04	0
1e-04	0
0.0155	8e-04
2e-04	0
0.0167	6e-04
1e-04	0
0	0
0.0046	1e-04
0.0083	3e-04
0.0332	0.0014
0.018	9e-04
0.0066	1e-04
0	0
0	0
0.0013	0
0.0027	1e-04
0.0014	2e-04
0.0038	2e-04
3e-04	0
0	0
0.0185	6e-04
0.0031	1e-04
2e-04	1e-04
7e-04	1e-04
0	0
0.0016	1e-04
0.0031	0
1e-04	2e-04
0.004	1e-04
0.0065	1e-04
5e-04	0
0.0066	0
0.0359	0.0016
0.0075	1e-04
1e-04	0
0.0089	3e-04
0.011	3e-04
1e-04	0
2e-04	0
7e-04	0
0	0
0.001	2e-04
0	0
0.0231	8e-04
0.0095	1e-04
6e-04	1e-04
0	0
4e-04	0
0.0058	1e-04
0.0339	0.0016
0.0164	4e-04
0	0
0.0041	2e-04
0.0025	0
0.0012	2e-04
6e-04	0
7e-04	0
0.0029	4e-04
2e-04	0
2e-04	1e-04
0.1039	0.004
0.0013	0
3e-04	0
0.0037	3e-04
0.1113	0.0042
0.0078	4e-04
0.0132	5e-04
0	0
4e-04	0
0.0069	4e-04
4e-04	2e-04
2e-04	0
9e-04	1e-04
4e-04	0
7e-04	3e-04
0.034	0.0015
0.001	0
0.0019	0
2e-04	0
7e-04	0
0.0019	0
0.0135	7e-04
0	0
1e-04	0
0.0014	0
0	0
0.0414	0.0014
0.0037	0
0	0
0	0
0.0487	0.0014
0.023	0.0013
0.001	0
0	0
0	0
0	0
0.0188	8e-04
2e-04	0
2e-04	0
8e-04	0
0.0141	5e-04
1e-04	0
0	0
2e-04	0
0	0
0.002	1e-04
0.0716	0.0026
0.0195	4e-04
7e-04	0
0.0022	2e-04
0.0017	2e-04
3e-04	0
0.0059	3e-04
0	0
4e-04	0
0.0237	0.0012
0	0
2e-04	3e-04
4e-04	0
0	0
0.0025	0
0.0631	0.0022
7e-04	0
1e-04	0
0.0014	1e-04
0	0
5e-04	1e-04
0.002	1e-04
1e-04	0
3e-04	0
0.0152	7e-04
1e-04	0
2e-04	0
0.0015	0
0.0018	0
0.0011	0
0	0
0	0
0.0014	0
0.0013	3e-04
0.0099	8e-04
4e-04	0
5e-04	0
0	0
6e-04	1e-04
4e-04	0
0	0
2e-04	0
0.0137	8e-04
0	0
0.0045	0
7e-04	0
0.0016	0
0	0
0	0
1e-04	0
4e-04	2e-04
0	0
0	0
0.0187	0.0011
6e-04	0
0.0193	0.0012
7e-04	0
0.0046	4e-04
0	0
0	0
0	0
0.0039	1e-04
0.0015	0
0.002	1e-04
0.0028	0
0.0042	5e-04
0.0014	2e-04
0.0037	0
3e-04	1e-04
9e-04	3e-04
0.074	0.003
0	0
0.0185	9e-04
0	0
0.0061	1e-04
0.1579	0.0033
1e-04	0
0.0013	1e-04
0.0482	0.0011
2e-04	0
9e-04	0
0.0124	8e-04
0.0132	5e-04
0.2464	0.0117
0	0
3e-04	0
0.0246	0.0017
0.0025	0
1e-04	0
0.0281	6e-04
0	0
4e-04	0
6e-04	0
3e-04	0
0.0055	1e-04
0.0017	1e-04
8e-04	0
0.0034	1e-04
0	0
0	0
0.009	8e-04
0	0
0	0
1e-04	0
2e-04	0
0.0103	3e-04
0.0217	0.001
0	0
1e-04	1e-04
3e-04	2e-04
0	1e-04
0	0
0.0054	1e-04
0.0095	2e-04
0.0074	2e-04
0	0
0.0259	0.001
7e-04	0
0.0017	0
0	0
0.0066	3e-04
0.0011	0
0.0249	5e-04
7e-04	0
6e-04	1e-04
3e-04	0
2e-04	0
8e-04	0
1e-04	0
0.0033	2e-04
4e-04	0
0.0107	4e-04
0.0092	5e-04
0.0032	2e-04
0.0019	2e-04
1e-04	0
0.0016	0
0.0225	4e-04
0.0032	2e-04
0	0
0	1e-04
0.0041	9e-04
0.0172	5e-04
0.0043	1e-04
0.033	5e-04
0.0282	7e-04
0	0
0	0
0	0
0.0128	0
0.0027	1e-04
0	0
0.0058	1e-04
0.007	2e-04
0.0098	4e-04
0.0057	4e-04
0.0098	3e-04
0.0056	2e-04
3e-04	0
0	0
0.0023	1e-04
0.0015	1e-04
7e-04	0
7e-04	0
0	0
0.0182	2e-04
0.0029	0
2e-04	0
0.0025	1e-04
9e-04	0
0	1e-04
0.0056	1e-04
0.0031	1e-04
3e-04	1e-04
0.0054	4e-04
0.0045	4e-04
0.0014	1e-04
3e-04	0
0.0077	3e-04
0.0021	2e-04
2e-04	0
2e-04	0
0.1168	0.0036
0.0322	0.0014
0.0013	0
0.0881	0.0023
8e-04	0
0.0013	0
0	0
1e-04	0
3e-04	0
2e-04	0
3e-04	0
0	0
0.0057	5e-04
0.0233	3e-04
0.0026	2e-04
0.0034	3e-04
0.0013	0
0.0067	2e-04
0.0029	2e-04
1e-04	0
0.0056	1e-04
0	0
0.0068	6e-04
5e-04	0
0.0078	3e-04
0	0
0.0833	0.0025
0	0
0.003	0
0.0024	1e-04
0	0
0.0013	1e-04
0.0264	0.0012
0.0142	3e-04
4e-04	0
1e-04	0
0.003	0
0.2656	0.0051
0.0252	8e-04
5e-04	0
0	0
1e-04	1e-04
0.0042	3e-04
2e-04	0
0	0
0.0048	8e-04
0	0
8e-04	0
0	0
3e-04	1e-04
8e-04	0
0	0
0.0232	0.0011
0	0
1e-04	0
0.0048	2e-04
0	0
0	0
0	0
0.0013	0
1e-04	0
0.0014	0
0.0082	3e-04
0.0043	5e-04
0.0028	1e-04
0.0034	2e-04
0.0014	1e-04
0.0697	0.0024
0.0026	0
0.0283	0.0018
1e-04	0
0.0135	8e-04
0	0
2e-04	0
1e-04	0
2e-04	0
0.0033	1e-04
8e-04	0
0.0492	8e-04
6e-04	0
0	0
0.0024	0
0.0012	3e-04
4e-04	0
0.0187	0.001
0.0047	9e-04
1e-04	0
1e-04	0
0.0055	3e-04
0.0034	1e-04
0.0071	7e-04
0.0049	4e-04
1e-04	0
0	0
0	0
0	0
0	0
0	0
0	0
3e-04	0
7e-04	0
0.0015	2e-04
0.033	0.001
0.0168	8e-04
0.3508	0.0072
0.0227	6e-04
2e-04	0
0	0
0.0018	0
6e-04	0
0	0
0	0
0.0047	2e-04
7e-04	0
1e-04	0
5e-04	0
0.0019	0
1e-04	0
0	0
0.0359	0.0019
0.0019	1e-04
2e-04	0
0.0103	1e-04
0	0
6e-04	0
0	0
0.1916	0.0071
0.0113	5e-04
0	0
0.0024	4e-04
8e-04	1e-04
0.1788	0.0053
1e-04	0
0	0
0.0544	0.0021
1e-04	0
0.0519	0.0012
0.0209	8e-04
2e-04	0
3e-04	0
9e-04	0
0.0017	0
0	0
0.0064	3e-04
0	0
