FMP	FPP
0.3497	0.0084
0.1635	0.0052
0.1391	0.0049
0.0094	2e-04
0.0098	0
0.088	0.0022
0.0667	0.002
0.2337	0.009
0.0125	3e-04
0.4101	0.0089
0.0425	6e-04
0.4254	0.0116
0.1232	0.0035
0.2632	0.0106
0.0017	2e-04
0.0201	5e-04
0.0192	9e-04
0.0876	0.0014
0.011	0
0.004	1e-04
0.392	0.0124
0.8608	0.029
0.1255	0.0043
0.6056	0.0195
0.4545	0.0149
0.1956	0.0053
0.0739	0.0024
0.8296	0.037
0.0761	0.0026
0.1393	0.0045
0.0341	0.0013
0.2088	0.005
0.0522	6e-04
0.9665	0.0678
0.0051	6e-04
0.0266	8e-04
0.0773	0.0033
0.7715	0.0401
0.6554	0.0185
0.8179	0.0287
0.7102	0.0283
0.1171	0.0035
9e-04	1e-04
0.2082	0.0072
0.4691	0.0144
0.0629	0.0024
0.0403	0.0011
0.0142	0.001
0.0078	3e-04
0.0529	0.0021
0.0051	0
0.0144	2e-04
0.0687	0.0016
0.0906	0.0017
0.0098	5e-04
0.0354	0.0014
0.0015	1e-04
0.5802	0.0224
0.4282	0.0178
0.0034	2e-04
0.0428	0.0017
0.1205	0.0019
0.1156	0.0048
0.0423	0.001
0.1058	0.003
0.0548	0.0017
0.1699	0.0053
0.926	0.0539
0.1524	0.0043
0.0151	7e-04
0.0268	0.001
0.0116	7e-04
0.2304	0.0076
0.8571	0.0761
0.0784	0.002
0.4801	0.0106
0.1025	0.0019
0.2257	0.0054
0.1796	0.0067
0.1782	0.0061
0.5586	0.0234
0.0036	1e-04
0.1204	0.0039
0.1026	0.0047
0.0386	0.0014
0.0055	3e-04
0.5965	0.0129
0.6875	0.0225
0.059	0.0019
0.102	0.0026
0.3209	0.006
0.3263	0.0071
0.005	3e-04
0.0261	3e-04
0.7832	0.0311
0.4221	0.0162
0.0048	2e-04
0.1683	0.0077
0.3363	0.009
0.4084	0.0134
0.0556	0.0022
0.5632	0.0139
0.347	0.0094
0.2637	0.0055
0.0012	0
0.0196	5e-04
0.1113	0.0055
0.0564	0.0022
0.0844	0.002
0.4891	0.0115
0.0015	1e-04
0.0018	2e-04
0.0103	7e-04
0.8676	0.0452
0.1494	0.0037
0.7184	0.0379
0.0207	5e-04
0.1271	0.0037
0.1082	0.0032
0.0025	1e-04
0.0311	8e-04
0.3677	0.0107
0.005	0
0.0045	1e-04
0.9608	0.0822
0.589	0.0188
0.9507	0.0943
0.0022	1e-04
0.7086	0.0402
0.1648	0.0048
0.5312	0.0191
0.1851	0.0044
0.5525	0.0189
0.1885	0.0042
0.2544	0.0066
0.932	0.0609
0.2765	0.0078
0.6316	0.019
1e-04	0
0.7636	0.0244
0.0064	4e-04
0.1266	0.0036
0.6109	0.0241
0.0403	0.002
0.0099	9e-04
0.0111	1e-04
0.0353	8e-04
0.2901	0.0078
0.3204	0.0059
0.99	0.1159
0.1061	0.0027
0.0623	0.0017
0.3257	0.0077
5e-04	0
0.1221	0.0033
0.0143	6e-04
0.9559	0.0504
0.0128	6e-04
0.018	7e-04
0.736	0.0253
0.001	0
0.8123	0.0469
0.7113	0.0626
0.5081	0.0146
0.043	0.0016
0.5552	0.017
0.1086	0.0033
0.5709	0.0207
0.0047	3e-04
0.0332	0.0014
0.2945	0.0094
0.2685	0.0094
0.0242	0.0014
0.372	0.0118
0.44	0.0073
0.2222	0.0078
0.0522	0.0031
0.0449	0.0023
0.986	0.0667
0.3382	0.0124
0.9558	0.0796
0.2644	0.008
0.0387	8e-04
0.0026	0
0.2883	0.0105
0.758	0.0224
0.8756	0.0451
0.0332	0.0016
0.1357	0.0031
0.208	0.0065
0.3269	0.0086
0.8437	0.0383
0.0294	0.0015
0.0165	4e-04
0.3142	0.0111
0.0552	0.0018
0.222	0.0071
0.0135	0.001
0.0168	1e-04
0.0127	6e-04
0.0062	3e-04
0.1109	0.0035
0.114	0.005
0.394	0.0129
0.5579	0.0264
0.0191	5e-04
0.0429	9e-04
0.9564	0.0815
0	0
0.1978	0.0055
0.1258	0.0045
0.0792	0.0032
0.0132	5e-04
0.0833	0.0026
0.7695	0.0289
0.0076	5e-04
0.1112	0.0035
0.7201	0.0201
0.7584	0.0455
0.061	0.0015
0.4288	0.0098
0.0023	1e-04
0.282	0.0079
0.5483	0.015
0.6345	0.0289
0.0135	5e-04
0.9402	0.0767
0.0265	0.0015
0.0668	0.0015
0.022	7e-04
0.5538	0.016
0.0738	0.0027
0.6417	0.0195
0.0045	1e-04
0.0843	0.003
0.0077	6e-04
0.0021	0
0.7415	0.0401
0.1252	0.0032
0.1134	0.0033
0.0825	0.003
0.1767	0.0051
0.0049	4e-04
0.4359	0.0142
0.4511	0.0165
0.0044	4e-04
0.5302	0.0145
0.6451	0.0212
0.4024	0.0134
0.0406	0.0016
0.713	0.0238
0.146	0.0034
0.0374	0.0018
0.5227	0.0191
0.015	6e-04
0.057	0.0018
0.7994	0.0428
0.0254	0.0012
0.0026	2e-04
0.2091	0.0044
0.607	0.0233
0.6275	0.0204
0.0063	2e-04
0.4716	0.016
0.2391	0.0064
0.2127	0.0052
0.2726	0.0065
0.0139	6e-04
0.0958	0.0034
0.0133	5e-04
0.3899	0.0089
0.1014	0.0024
0.1399	0.0047
0.3737	0.01
0.0494	0.002
0.1157	0.0029
0.0133	6e-04
0.0738	0.0028
0.2207	0.0047
0.6636	0.0205
0.1666	0.0045
0.1704	0.0056
0.5246	0.0165
0.4711	0.0182
0.1349	0.0046
0.7536	0.0372
0.0683	0.0022
0.002	1e-04
0.054	0.0013
0.1871	0.0042
0.3524	0.0066
0.0149	7e-04
0.2646	0.0092
0.67	0.0206
0.1684	0.0065
0.7626	0.0254
0.0981	0.0027
0.9356	0.0759
0.0734	0.0026
0.2999	0.0072
0.0023	1e-04
0.0179	9e-04
0.8098	0.0362
0.1243	0.004
0.1197	0.0029
0.082	0.0022
0.0743	0.0031
0.0549	0.0014
0.9028	0.062
0.3738	0.0071
0.036	0.0017
0.0116	2e-04
0.006	2e-04
0.1192	0.0048
0.0049	2e-04
0.3501	0.0094
0.0333	0.0014
0.0505	0.0015
0.0146	5e-04
0.7127	0.0183
0.7545	0.0205
0.0149	6e-04
0.2326	0.0048
0.086	0.0031
0.4151	0.0114
0.0072	2e-04
0.0667	0.0016
0.0451	0.0011
0.0362	0.0016
0.0364	8e-04
0.4104	0.0071
0.0271	0.0023
0.165	0.0055
0.0491	0.0025
0.0267	0.0013
0.6987	0.0221
0.7539	0.033
0.0202	6e-04
0.1691	0.0073
0.0059	3e-04
0.0984	0.0035
0.9327	0.0813
0.0976	0.0025
0.1356	0.0043
0.296	0.0112
0.0132	5e-04
0.0038	0
0.0049	6e-04
1e-04	0
0.0361	0.0011
0.0653	0.0015
0.6559	0.0307
0.4725	0.0159
0.0384	8e-04
0.4142	0.0098
0.0017	2e-04
1e-04	0
0.9242	0.0464
0.7418	0.0277
0.0034	0
0.798	0.0327
0.0997	0.0034
0.0016	1e-04
0.0012	6e-04
0.0013	0
0.1012	0.004
0.9395	0.0525
0.0434	0.0012
0.4005	0.0096
0.5481	0.0141
0.0289	0.0015
0.0088	0
0.5282	0.0145
0.0525	0.0012
0.0042	2e-04
0.5138	0.0199
0.1209	0.0042
0.8361	0.0423
0.0644	0.001
0.114	0.0034
0.526	0.0185
0.0915	0.0039
0.9204	0.0485
0.2685	0.0097
0.0494	0.0021
0.3773	0.0099
0.8165	0.0329
0.7623	0.0227
0.2647	0.0073
0.0353	0.0018
0.1185	0.0025
0.2575	0.008
0.0383	0.0015
0.2166	0.008
0.4793	0.0264
0.0172	4e-04
0.0861	0.0031
0.484	0.0088
0.5824	0.0164
0.4949	0.0165
0.0563	0.0026
0.098	0.0032
0.0078	3e-04
0.1709	0.0048
0.036	0.0011
0.012	7e-04
0.9751	0.0819
0.0225	9e-04
0.357	0.0116
0.0308	7e-04
0.0461	0.0013
0.0865	0.0021
0.0394	0.001
0.2976	0.0054
0.2388	0.0056
0.0011	3e-04
0.356	0.0067
0.2326	0.0072
0.0103	6e-04
0.0763	0.0016
0.1864	0.0056
0.01	5e-04
0.8143	0.0442
0.1963	0.01
0.2703	0.0065
0.1519	0.0059
0.0951	0.0034
0.035	0.0014
0.4991	0.0143
0.9987	0.1484
0.1376	0.0049
0.0386	0.0013
0.4243	0.0086
0.0524	0.0018
0.2258	0.0064
0.2858	0.0071
0.2534	0.0076
0.04	0.0014
0.0806	0.0023
0.4814	0.0124
0.1141	0.0022
0.0109	5e-04
0.1384	0.0045
0.0667	0.0016
0.7119	0.0226
0.078	0.0019
0.1521	0.0036
0.0212	6e-04
0	0
0.0314	0.0013
0.1446	0.0044
0.4249	0.0096
0.3267	0.0093
0.4499	0.0143
0.1201	0.0031
0.1077	0.0032
0.0616	0.0022
0.374	0.0106
0.016	4e-04
0.4635	0.013
0.0879	0.0033
0.5767	0.0174
0.0254	7e-04
0.3561	0.0129
0.4317	0.0127
0.2773	0.0068
0.2142	0.0056
0.3991	0.0129
0.2975	0.0113
0.0102	0
0.0155	5e-04
0.0572	0.0021
0.1231	0.0031
0.0354	0.0013
3e-04	0
0.1959	0.0069
0.1762	0.0045
0.1527	0.0051
0.1028	0.0032
0.01	1e-04
0.0745	0.0019
0.0941	0.0039
0.0847	0.0022
0.503	0.0223
0.0582	0.0019
0.0367	0.0018
0.0471	0.0016
0.0078	2e-04
0.4503	0.0106
0.3101	0.0102
0.9976	0.2067
0.5092	0.0121
0.0149	7e-04
0.6175	0.0231
0.046	8e-04
0.0041	2e-04
0.4513	0.0118
0.0597	0.0028
0.6173	0.0217
0.0039	1e-04
0.7854	0.0381
0.189	0.0034
0.179	0.0041
0.7112	0.0237
0.5262	0.0158
0.1528	0.0059
0.0537	0.0022
0.8228	0.0529
0.586	0.0184
0.4542	0.0149
0.5762	0.0247
0.8108	0.0456
0.004	1e-04
0.2572	0.0065
1e-04	0
0.196	0.0076
0.5186	0.0233
3e-04	0
0.0283	0.0019
0.6933	0.0162
0.0448	0.0019
0.8775	0.0325
0.0061	3e-04
0.055	0.0014
0.8535	0.0466
0.5108	0.0354
0.0508	0.0027
0.8756	0.0561
0.0237	0.0014
0.0093	7e-04
0.5947	0.024
0.1103	0.004
0.0185	5e-04
0.1695	0.005
0.3891	0.013
0.7176	0.0208
9e-04	0
2e-04	0
0.0177	0.0015
0.1877	0.0047
0.5439	0.0203
0.5923	0.0138
0.0223	0.001
0.0044	0
0.007	3e-04
0.5584	0.0141
0.1905	0.0047
0.0894	0.0035
0.358	0.0088
0.2643	0.0084
0.1786	0.0038
0.0698	0.001
0.0173	5e-04
0.2191	0.0077
0.0283	6e-04
0.1606	0.0039
0.0066	2e-04
0.9431	0.0644
0.2328	0.0085
0.2287	0.005
0.038	0.001
0.8171	0.0265
0.0121	5e-04
0.2041	0.006
0.7439	0.0305
0.0425	0.0016
0.0494	0.0022
0.0779	0.0024
0.8124	0.0342
0.7295	0.0264
0.0132	0.001
0.9765	0.138
0.0247	0.0012
0.1848	0.0085
0.0162	6e-04
0.0071	2e-04
0.0995	0.0028
0.0288	3e-04
0.0204	0.0011
0.0746	0.0026
0.0197	7e-04
0.0587	0.0029
0.7955	0.0248
0.9795	0.0915
0.0325	0.001
0.5994	0.0165
0.2011	0.0068
0.007	0.0015
0.1838	0.0047
0.1499	0.0026
0.5528	0.0168
0.9463	0.1017
0.1969	0.0076
0.0709	0.0015
0.0669	0.002
0.7927	0.0271
0.0838	0.0025
0.1549	0.006
0.0912	0.0029
0.9183	0.0534
0.0534	0.0024
0.9372	0.0731
0.0183	0.0013
0.89	0.0445
0.0149	0.0013
0.0861	0.0029
0.0033	1e-04
0.314	0.0064
0.0361	0.0015
0.0959	0.0023
0.9762	0.1109
0.3855	0.0134
0.2412	0.0057
0.1951	0.0037
0.1858	0.004
0.3972	0.0112
0.1935	0.0058
0.1047	0.0027
0.2987	0.0093
0.007	3e-04
