FMP	FPP
0	3e-04
0.0402	0.0039
1e-04	0
0.0114	0.0013
0	3e-04
1e-04	0
0.0014	4e-04
0.0619	0.0069
0.0038	8e-04
4e-04	0
0	0
0.0036	0
0.0032	4e-04
6e-04	2e-04
0	0
0	1e-04
0.0015	4e-04
0.0023	2e-04
4e-04	0
1e-04	0
0	0
0.0054	5e-04
2e-04	0
0.0057	2e-04
0	0
0.0058	5e-04
0.0017	1e-04
0.0063	5e-04
1e-04	0
0.0098	0.0013
0.0029	5e-04
0.0017	1e-04
0	2e-04
0.0185	0.0016
2e-04	0
0.0011	0
0.0023	1e-04
0	0
0.0015	5e-04
9e-04	2e-04
6e-04	2e-04
0.0019	0
0.0321	0.0029
7e-04	0
0.0066	9e-04
8e-04	1e-04
0.0241	0.0019
0	0
0	0
0.0057	5e-04
0.002	3e-04
0.0096	0.0019
0.0062	6e-04
0.0409	0.0046
0.0075	0.0014
0.025	0.0016
1e-04	0
2e-04	0
0.0049	8e-04
0	0
8e-04	2e-04
2e-04	0
0.004	2e-04
5e-04	1e-04
0.3235	0.0321
0	1e-04
0.0016	2e-04
1e-04	0
0	0
8e-04	0
0.0754	0.0107
2e-04	0
9e-04	0
0.0324	0.0034
0.0017	1e-04
0.006	7e-04
2e-04	0
0.0249	0.0039
0.0445	0.0049
0.0697	0.0085
0.0079	7e-04
0.001	1e-04
0	0
0.0096	0.0018
0.0035	3e-04
6e-04	0
0.0279	0.0021
0.0037	6e-04
8e-04	1e-04
9e-04	1e-04
0	0
5e-04	0
0	0
3e-04	1e-04
3e-04	0
6e-04	0
1e-04	1e-04
0.0024	2e-04
8e-04	0
0.0401	0.0056
0.0033	5e-04
0	0
5e-04	1e-04
0.0023	0.001
0.003	1e-04
0	0
1e-04	0
0	1e-04
0.0022	2e-04
0	0
5e-04	5e-04
0.0066	0.001
0.0951	0.0066
6e-04	0
0.0135	0.0012
0.0079	4e-04
0.0311	0.0059
0.0087	4e-04
3e-04	1e-04
0.0051	9e-04
2e-04	0
0.0013	1e-04
5e-04	1e-04
4e-04	0
0.001	2e-04
0	0
0	0
0.0051	7e-04
0	0
0.0355	0.0037
5e-04	3e-04
0.0059	9e-04
0.0569	0.0045
0	0
0	0
2e-04	0
0.0014	1e-04
0.0043	1e-04
0.0028	2e-04
4e-04	2e-04
2e-04	0
6e-04	2e-04
0.0051	1e-04
0.0015	1e-04
0	0
0.0666	0.0062
0	0
0.0029	2e-04
2e-04	1e-04
0	0
0.0172	0.0016
0	0
6e-04	0
0.0012	8e-04
0.0047	6e-04
0.0017	6e-04
7e-04	5e-04
0.0284	0.0035
0	0
0	0
0.0284	0.004
1e-04	0
0.0045	7e-04
0	0
0	0
0	1e-04
0.0323	0.0043
0.3442	0.037
2e-04	0
0.003	2e-04
0.0016	6e-04
0.1752	0.0122
0.0021	2e-04
0.001	4e-04
9e-04	0
4e-04	0
0.0068	0.0014
0.0025	3e-04
0.0315	0.0033
7e-04	0
2e-04	0
0.0155	0.0013
0.0034	6e-04
0	0
0.0569	0.006
4e-04	1e-04
4e-04	0
0.0249	0.003
2e-04	0
0.0013	0
0.0106	8e-04
0	0
0.6126	0.0976
0.0104	6e-04
0.0017	1e-04
0.6509	0.0813
4e-04	0
0	0
0.0039	4e-04
0.0461	0.0048
0.0015	4e-04
5e-04	0
0.0359	0.0029
1e-04	0
5e-04	0
0.0035	7e-04
4e-04	0
0	0
6e-04	0
0.0016	1e-04
0.0067	9e-04
0	0
0.0149	0.0019
0.0018	6e-04
0.0211	0.002
0.0016	3e-04
0.0217	0.0015
9e-04	0
0.0046	5e-04
0.0074	0.0012
0.0011	1e-04
0.0065	0.001
0	0
1e-04	0
0.0174	0.0023
2e-04	0
0.0022	2e-04
2e-04	0
0.2514	0.0319
0.001	0
0.007	5e-04
0.0067	7e-04
0.0025	2e-04
0	0
0.0014	2e-04
5e-04	0
0.0019	5e-04
8e-04	4e-04
0.0174	0.0021
0	0
0.001	5e-04
0	0
0.0014	0
0	0
2e-04	0
0.1307	0.012
2e-04	0
6e-04	0
0.0044	2e-04
5e-04	0
5e-04	1e-04
0	1e-04
2e-04	0
5e-04	0
0.0117	0.0019
0.04	0.0029
7e-04	3e-04
1e-04	0
6e-04	0
0.0031	5e-04
0.0245	0.0032
3e-04	0
0.0091	0.0017
1e-04	0
0.0056	1e-04
8e-04	1e-04
0.0034	0.001
0	0
0.0023	0
0.0266	0.0027
0.0062	9e-04
0	0
0.0032	8e-04
0.0012	0
0	0
1e-04	0
0.0027	0.001
0.002	5e-04
0	0
0.034	0.0034
0.0015	1e-04
0.0313	0.0037
0.0047	1e-04
0	0
0.0322	0.0044
0.014	0.0017
6e-04	1e-04
0.0519	0.0057
0.0012	1e-04
1e-04	0
0	0
4e-04	0
0.0115	0.0013
0.0045	5e-04
1e-04	0
5e-04	0
0.025	0.0033
6e-04	1e-04
0.0258	0.0036
0.0038	0.0012
0.0461	0.0057
1e-04	0
0.1136	0.0086
3e-04	0
0.0217	0.0027
0	0
0	0
0.0021	0
0	0
0	0
0	0
0.0026	2e-04
0	0
5e-04	0
1e-04	0
0.0228	0.0028
0.0031	6e-04
9e-04	2e-04
0.0016	0
6e-04	0
2e-04	0
0.0013	1e-04
0.0058	0.002
4e-04	1e-04
0.0018	2e-04
0.0018	5e-04
0.0014	0
4e-04	2e-04
