FMP	FPP
0.8799	0.8873
0.064	0.0664
0.1739	0.1574
0.2747	0.2682
0.845	0.8361
0.4228	0.4314
0.4856	0.477
0.4545	0.453
0.9593	0.9662
0.7387	0.7558
0.0884	0.0831
0.2233	0.2111
0.6276	0.6295
0.2941	0.2906
0.4638	0.4602
0.2146	0.2142
0.3392	0.3393
0.6509	0.6468
0.4456	0.4408
0.4928	0.4873
0.9508	0.9539
0.9453	0.9435
0.2692	0.268
0.4527	0.4502
0.6197	0.6206
0.6308	0.6185
0.6242	0.6303
0.4118	0.4035
0.7726	0.7801
0.2621	0.2532
0.1597	0.1607
0.9669	0.9641
0.2489	0.2449
0.0082	0.0105
0.8776	0.884
0.6977	0.6935
0.7847	0.8042
0.361	0.372
0.7208	0.7246
0.1105	0.1155
0.4749	0.4763
0.8903	0.8958
0.3233	0.316
0.384	0.3734
0.9812	0.9809
0.0173	0.0213
0.3623	0.3587
0.9099	0.9029
0.4663	0.4794
0.7451	0.7481
0.9121	0.9154
0.9724	0.9707
0.3572	0.3622
0.9888	0.9881
0.0618	0.0653
0.4795	0.4838
0.726	0.7338
0.8223	0.8076
0.8203	0.8305
2e-04	6e-04
0.4442	0.4405
0.5291	0.5204
0.0124	0.0101
0.8743	0.8759
0.0136	0.0142
0.4286	0.4348
0.491	0.4996
0.7788	0.791
0.359	0.3533
0.6863	0.6755
0.321	0.3171
0.0776	0.0812
0.9181	0.9189
0.0716	0.0707
0.0394	0.0429
0.9474	0.946
0.8042	0.7973
0.1083	0.1016
0.8072	0.7997
0.2252	0.2295
0.0289	0.0265
0.6801	0.6974
0.2746	0.267
0.8195	0.8188
0.6209	0.6185
0.329	0.3342
0.1425	0.1454
0.0689	0.0767
0.0252	0.0256
0.7837	0.7833
0.5346	0.5278
0.1949	0.184
0.8301	0.837
0.5986	0.5911
0.9324	0.9322
0.2827	0.2948
0.6508	0.6441
0.4741	0.4902
0.129	0.1221
0.6027	0.6151
0.398	0.4129
0.1601	0.1511
0.4262	0.4247
0.0591	0.0587
0.7476	0.7456
0.2341	0.2446
0.5862	0.5892
0.3085	0.3035
0.0446	0.0447
0.2365	0.2254
0.5005	0.4977
0.7022	0.7023
0.4847	0.4781
0.1384	0.1354
0.6352	0.63
0.3371	0.3463
0.5212	0.5362
0.0357	0.0333
0.3126	0.3212
0.6262	0.6306
0.7017	0.699
0.2529	0.2489
0.4349	0.4363
0.6303	0.6376
0.012	0.0124
0.6387	0.6505
0.1523	0.1501
0.6637	0.6576
0.8542	0.8578
0.1878	0.1908
0.3342	0.3238
0.739	0.752
0.003	0.0024
0.9851	0.9861
0.8337	0.8413
0.5022	0.5012
0.212	0.2065
0.4015	0.3967
0.8744	0.8827
0.5359	0.5423
0.2245	0.2141
0.0834	0.09
0.4456	0.4375
0.3796	0.3967
0.5474	0.5499
0.9901	0.9895
0.2577	0.2641
0.3282	0.3189
0.3196	0.3218
0.0141	0.0137
0.9617	0.9548
0.4511	0.4406
0.2018	0.2063
0.4174	0.4368
0.6698	0.6693
0.1318	0.1384
0.7569	0.764
0.5572	0.5801
0.0738	0.071
0.5241	0.5216
0.3701	0.3784
0.8715	0.8695
0.0065	0.0054
0.1334	0.1251
0.6519	0.6429
0.6649	0.6657
0.6099	0.6094
0.8777	0.8867
0.9967	0.9973
0.9851	0.9862
0.6201	0.6246
0.5814	0.5749
0.6352	0.6279
0.8035	0.7938
0.0179	0.0183
0.2252	0.2406
0.5107	0.4959
0.6482	0.654
0.1829	0.1753
0.2144	0.2038
0.4011	0.3994
0.4474	0.4556
0.8572	0.8573
0.8248	0.8283
0.3062	0.301
0.7157	0.7147
0.9984	0.9986
0.2201	0.2096
0.2195	0.2296
0.5789	0.5708
0.0954	0.1025
0.7217	0.7253
0.7224	0.7275
0.2698	0.2744
0.7601	0.776
0.2731	0.2718
0.7025	0.7015
0.9564	0.9501
0.399	0.4056
0.4639	0.4723
0.4787	0.4877
0.1293	0.1233
0.2503	0.2441
0.7369	0.7472
0.3543	0.3677
0.0894	0.0837
0.5007	0.5004
0.0217	0.0242
0.0708	0.0751
0.3716	0.3723
0.4721	0.474
0.6384	0.6459
0.7326	0.7256
0.3748	0.3695
0.5888	0.5906
0.2008	0.1962
0.0351	0.0356
0.9537	0.9537
0.1711	0.17
0.1944	0.1963
0.5815	0.5856
0.078	0.0834
0.0521	0.0494
0.6451	0.6414
0.0971	0.0976
0.5884	0.5957
0.8987	0.8948
0.0772	0.075
0.4898	0.4886
0.6289	0.6199
0.9309	0.9312
0.3855	0.3773
0.142	0.1328
0.7323	0.7245
0.602	0.6069
0.212	0.2035
0.841	0.8466
0.7095	0.7004
0.1961	0.1913
0.0365	0.0363
0.5976	0.5795
0.2089	0.1891
0.8829	0.8811
0.6067	0.6062
0.5413	0.5418
0.6333	0.6342
0.3651	0.3678
0.5837	0.573
0.6851	0.689
0.2309	0.2299
0.5869	0.5857
0.093	0.1007
0.305	0.299
0.8138	0.8096
0.3271	0.3296
0.3306	0.3287
0.8485	0.8481
0.2201	0.2169
0.0319	0.0303
0.9456	0.9474
0.7361	0.739
0.2836	0.2795
0.2447	0.2402
0.2949	0.2917
0.4652	0.4847
0.9275	0.9213
0.0832	0.0767
0.9861	0.9854
0.4293	0.424
0.9843	0.984
0.379	0.3653
0.4507	0.4497
0.7152	0.7154
0.29	0.2799
0.4676	0.4512
0.9144	0.9172
0.0385	0.0366
0.0556	0.057
0.0795	0.0776
0.4444	0.4431
0.076	0.0722
0.0644	0.068
0.1759	0.1708
0.2654	0.2715
0.0624	0.0636
0.0445	0.0409
0.806	0.8118
0.087	0.0817
0.3708	0.3626
0.0079	0.0065
0.31	0.3191
0.8804	0.8801
0.8318	0.8365
0.6246	0.6276
0.2686	0.2706
0.1686	0.1626
0.2241	0.2306
0.1206	0.1169
0.4354	0.4317
0.5418	0.5545
0.7864	0.7788
0.2098	0.2107
0.0253	0.0229
0.2667	0.2653
0.3311	0.3202
0.1937	0.1921
0.4627	0.4638
0.0413	0.0346
0.8602	0.8619
0.7993	0.7962
0.5709	0.5597
0.4996	0.4932
0.3375	0.3333
0.854	0.8483
0.1026	0.1039
0.9675	0.9638
0.1462	0.1462
0.6909	0.6889
0.8575	0.8512
0.8166	0.8156
0.0089	0.0107
0.7087	0.7198
0.0451	0.0491
0.2915	0.3079
0.3317	0.3316
0.5854	0.5793
0.4506	0.4464
0.0924	0.0884
0.1635	0.1531
0.0435	0.0447
0.7918	0.7941
0.6034	0.5985
0.8209	0.8221
0.4263	0.4253
0.0855	0.0861
0.4271	0.4182
0.1413	0.1486
0.5623	0.5633
0.9313	0.9369
0.7787	0.7805
0.402	0.4081
0.4056	0.4189
0.3453	0.3462
0.0981	0.1094
0.1402	0.1402
0.8515	0.8516
0.5544	0.5374
0.8194	0.8061
0.6404	0.6422
0.8748	0.8666
0.4555	0.4564
0.3349	0.33
0.4431	0.4499
0.5527	0.5527
0.3655	0.3635
0.1	0.0982
0.9801	0.9811
0.1701	0.1559
0.7173	0.7153
0.6297	0.6162
0.7985	0.7988
0.5532	0.5471
0.7603	0.7582
0.4166	0.4178
0.2599	0.258
0.7588	0.7644
0.9123	0.9078
0.9239	0.9182
0.5346	0.533
0.3861	0.3891
0.0904	0.0907
0.3072	0.3076
0.4388	0.4293
0.8897	0.888
0.9943	0.9941
0.7727	0.7723
0.0106	0.0108
0.1426	0.1362
0.5534	0.5622
0.6716	0.6704
0.7167	0.7096
0.3917	0.3925
0.2228	0.2136
0.4105	0.4148
0.2113	0.219
0.5721	0.5733
0.006	0.0067
0.9684	0.9695
0.4561	0.4446
0.8499	0.8534
0.4764	0.4877
0.6636	0.6506
0.3302	0.3288
