FMP	RMP	FPP	UPP	ANPP	NPP	ANCOVA
4e-04	3e-04	5e-04	0.0019	4e-04	0.002	0.0292982562265403
0.0012	4e-04	0.0038	0.0115	0.0094	0.0073	0.110562470867269
0.0018	0.0034	0.0038	0.0176	0.0087	0.0082	0.139986647170382
0.0041	0.0044	0.0013	0.012	0.0042	0.0043	0.0701638768562108
0.0011	4e-04	0.0019	0.0058	0.0055	0.0048	0.0727591063151203
9e-04	9e-04	0.0025	0.0143	0.0077	0.0086	0.131783331430401
0.0011	0.0031	0.005	0.0191	0.0101	0.0107	0.181098636217133
0.0335	0.0339	0.011	0.0862	0.0475	0.0503	0.320051998804186
0.0033	0.0034	0.0017	0.0105	0.0052	0.0052	0.0716997787784719
0.7443	0.7458	0.1634	0.6849	0.5367	0.5354	0.852897951895884
0.0067	0.005	0.007	0.0284	0.0184	0.0187	0.263040666339538
0	0	2e-04	8e-04	0.0016	5e-04	0.0230381215725644
0.4154	0.4026	0.088	0.4967	0.3271	0.3322	0.806383487266674
0.001	0.0016	0.0022	0.0115	0.0041	0.0061	0.1080356643462
0.0049	0.0064	2e-04	0.0074	0.002	0.0052	0.0355466316838514
0.0042	0.0021	0.0042	0.022	0.0117	0.0157	0.166927020409727
1e-04	3e-04	2e-04	0.0024	9e-04	7e-04	0.0193826326990991
0	0	0	0	0	0	0.000441149051310836
0.1127	0.1211	0.0123	0.1862	0.0831	0.0947	0.418944565120123
0.0015	9e-04	4e-04	0.0047	0.0019	0.0019	0.0246120995087122
0.0134	0.0141	0.0137	0.0699	0.0411	0.0393	0.314928254630944
0.0904	0.0986	0.0321	0.2283	0.1145	0.1072	0.569892639874013
0.0222	0.0251	0.0058	0.0513	0.0273	0.0285	0.192667633103347
0.0019	0.002	0.0015	0.0096	0.0055	0.0056	0.0839323190757029
0.3214	0.3287	0.1625	0.5472	0.4024	0.3955	0.850729140312928
0.0523	0.0518	0.0071	0.0839	0.0396	0.0397	0.218647809901343
0.6964	0.6942	0.1417	0.7043	0.5252	0.5113	0.894673047286557
0.0754	0.0674	0.0123	0.1277	0.061	0.0556	0.329677523428003
0.0712	0.0745	0.0224	0.1636	0.0852	0.0901	0.459199454477068
0.0179	0.0181	0.0069	0.0584	0.0319	0.0316	0.199991069153734
3e-04	0	0	0.0011	2e-04	1e-04	0.0026823318569386
0.0855	0.0919	0.0337	0.2156	0.1241	0.1267	0.552898805512768
8e-04	7e-04	4e-04	0.0039	0.0036	0.0028	0.0432929493676433
0.0937	0.0969	0.0082	0.0897	0.0432	0.0448	0.180197300426603
0.0889	0.0894	0.0271	0.2115	0.1174	0.105	0.55322217796395
0.0069	0.0058	0.0056	0.0294	0.0161	0.018	0.169270890671933
0.0179	0.0207	0.0049	0.0432	0.0213	0.0239	0.202140629099429
0.0176	0.0135	0.0101	0.0697	0.0346	0.035	0.299891014507638
3e-04	3e-04	1e-04	6e-04	6e-04	7e-04	0.0149355187108066
0.0074	0.0064	0.0083	0.0401	0.0186	0.0213	0.223397141074799
0.0666	0.072	0.0272	0.1575	0.0854	0.0926	0.408204587270754
0.0198	0.0212	0.0031	0.0465	0.0225	0.0216	0.160634465609573
