FMP	RMP	FPP	UPP	ANPP	NPP	ANCOVA
0.6626	0.6675	0.115	0.5897	0.4554	0.4552	0.760172476694436
0.9703	0.9745	0.2006	0.9464	0.8866	0.9026	0.976183217418409
0.7992	0.7979	0.0888	0.7163	0.5828	0.5746	0.82864387285634
0.3508	0.3329	0.0619	0.4239	0.2551	0.2659	0.7274802895326
0.1709	0.1793	0.033	0.2232	0.1244	0.1302	0.41463881029112
0.9326	0.9289	0.2097	0.8915	0.7823	0.7753	0.948930049761714
0.4411	0.4357	0.0275	0.3595	0.2487	0.2499	0.476011266332028
0.6543	0.6336	0.1044	0.6165	0.4227	0.4454	0.82491823999239
0.2651	0.2671	0.026	0.2272	0.1398	0.1462	0.405394180592877
0.7963	0.8171	0.1233	0.7251	0.5926	0.5946	0.84164014457776
0.6529	0.6472	0.0587	0.5671	0.4001	0.4086	0.714591724686606
0.1127	0.1169	0.0352	0.2126	0.1283	0.1212	0.483457433097637
0.0999	0.0962	0.0545	0.2634	0.1578	0.1551	0.620227588516844
0.9723	0.9699	0.3198	0.941	0.884	0.8904	0.975310053331271
0.9254	0.9239	0.1734	0.867	0.7508	0.7447	0.946950421740149
0.2684	0.2677	0.0342	0.2223	0.1483	0.1464	0.354133726168387
5e-04	0.0013	0.001	0.0071	0.0045	0.0027	0.0653144734548755
0.3556	0.3382	0.0513	0.3225	0.2221	0.2207	0.514401364565554
0.4788	0.5008	0.0441	0.4409	0.281	0.2934	0.648288676347287
0.6536	0.6662	0.0685	0.5766	0.3949	0.4021	0.764916181460522
0.0025	0.0056	0.0024	0.0129	0.0086	0.0087	0.083988412185017
0.0663	0.0739	0.0042	0.0745	0.0332	0.0373	0.157010080080149
0.9472	0.9454	0.1588	0.9011	0.8226	0.8219	0.950038515494411
0.853	0.8691	0.1671	0.7998	0.6306	0.6498	0.910178708093224
0.0984	0.097	0.0217	0.1923	0.0983	0.1022	0.492148957133014
0.3385	0.3466	0.0192	0.2663	0.1651	0.1694	0.393720045399067
0.6247	0.6087	0.0704	0.5679	0.4751	0.4886	0.643493598517023
0.0283	0.0235	0.0107	0.0864	0.0425	0.0439	0.287101581584331
0.3411	0.3428	0.0278	0.3078	0.1937	0.1748	0.486105826334921
0.811	0.8109	0.1324	0.7447	0.5874	0.5777	0.88227621979875
0.1648	0.1831	0.0534	0.3009	0.1874	0.18	0.598025410104873
0.8235	0.8233	0.104	0.7458	0.6326	0.6284	0.83567425357081
0.1778	0.1895	0.0439	0.2805	0.1558	0.1544	0.570384709600789
0.0026	0.007	0.0032	0.0216	0.0111	0.0118	0.123838391878236
0.1909	0.1721	0.0379	0.2812	0.1464	0.1545	0.583387645149967
0.0034	0.0014	0.0037	0.0138	0.0102	0.0087	0.111419265979479
0.0444	0.0423	0.0038	0.067	0.0315	0.0352	0.194539128041542
0.0214	0.0264	0.0066	0.0593	0.0241	0.0256	0.2131289576535
0.0813	0.0804	0.0246	0.1625	0.098	0.0907	0.435338887389486
0.9412	0.9353	0.2127	0.885	0.7686	0.7723	0.960368769625034
0.7454	0.7643	0.0939	0.6814	0.4978	0.4972	0.843151443772591
0.2586	0.2751	0.0677	0.3762	0.2349	0.2352	0.675709539240233
0.0557	0.0516	0.0144	0.1277	0.0619	0.0702	0.345598600704042
0.1166	0.1065	0.0152	0.1363	0.0805	0.077	0.296948220893018
0.0399	0.0357	0.0205	0.1206	0.0693	0.0708	0.437189633409354
0.6633	0.6472	0.0464	0.5387	0.3758	0.3944	0.705050839171607
0.0326	0.0296	0.0065	0.0654	0.0329	0.0324	0.218904241291154
0.0417	0.0442	0.0056	0.0641	0.0321	0.0307	0.15613091057406
0.099	0.0938	0.0342	0.2179	0.1158	0.1228	0.603247467781262
0.0579	0.0555	0.0051	0.0604	0.0306	0.0294	0.15012963468917
0.0013	4e-04	4e-04	0.0037	0.0018	0.0013	0.0357250830998949
0.183	0.1826	0.0098	0.1477	0.0793	0.087	0.253357785936803
0.0105	0.0116	0.0013	0.0251	0.0092	0.0124	0.0838456728673163
0.0558	0.0541	0.0065	0.0702	0.0355	0.0365	0.195256510438198
0.0045	0.0035	0.0024	0.0179	0.0062	0.0094	0.12059689240647
0.1185	0.1213	0.0385	0.2385	0.1417	0.1433	0.561689152565438
0.3309	0.3383	0.1124	0.4581	0.3197	0.3083	0.746454927175593
0.0046	0.0034	9e-04	0.0083	0.0053	0.0045	0.0408823097935339
0.7745	0.7697	0.1613	0.7021	0.5495	0.5458	0.850551884194958
0.8526	0.8658	0.1595	0.8066	0.6237	0.6402	0.943542795271595
0.0286	0.0286	0.0039	0.0438	0.0263	0.0214	0.145958933687284
0.0433	0.0408	0.007	0.0784	0.0421	0.04	0.260974603167175
0.3898	0.3854	0.0326	0.3705	0.2221	0.2134	0.615889277133864
0.5152	0.5208	0.0553	0.4323	0.357	0.346	0.537930358738408
0.2316	0.2374	0.0197	0.2228	0.1214	0.1321	0.415329269216423
0.0138	0.0129	0.0107	0.0633	0.0268	0.035	0.318158606826913
0.0334	0.0344	0.0114	0.0908	0.046	0.0477	0.292472267924423
0.1632	0.1741	0.0309	0.2224	0.1293	0.1296	0.44026910385909
0.0177	0.0205	0.0073	0.06	0.0259	0.03	0.268337792533424
0.1868	0.1944	0.0381	0.2931	0.1588	0.1645	0.579648698627469
9e-04	5e-04	9e-04	0.0047	0.0023	0.0021	0.0365031868797236
0.1184	0.1189	0.0082	0.0941	0.058	0.0594	0.160256694318649
0.2782	0.2688	0.0635	0.4059	0.2316	0.2503	0.725902246806275
0.1279	0.1297	0.0041	0.103	0.0508	0.0489	0.237760441983698
0.0507	0.0526	0.0059	0.0825	0.034	0.0398	0.23840465760596
0.0073	0.0066	0.0044	0.0267	0.0169	0.013	0.110132278836064
0.0724	0.0649	0.0225	0.1663	0.0877	0.0871	0.482335260139526
0.0032	0.0033	2e-04	0.0096	0.0028	0.0032	0.0345480849247546
0.365	0.3882	0.1032	0.5066	0.3247	0.3249	0.815614448332966
0.2952	0.3046	0.04	0.3432	0.2054	0.2055	0.603560691241479
0.1606	0.1547	0.0115	0.1587	0.0798	0.0862	0.33710891438809
0.3868	0.3812	0.0844	0.4296	0.283	0.2909	0.680753752626264
0.1422	0.1344	0.0111	0.1416	0.0665	0.0749	0.295595071619302
0.1711	0.1679	0.0644	0.3496	0.1994	0.2001	0.756204391716263
0.3015	0.2924	0.0195	0.2961	0.1404	0.1555	0.539942531848643
0.0377	0.0368	0.0305	0.1368	0.0817	0.0918	0.471399380158465
0.057	0.0501	0.0114	0.0803	0.043	0.0457	0.199481984579016
0.0107	0.0121	0.0043	0.0339	0.0162	0.0178	0.16063239335997
0.3057	0.31	0.0245	0.2535	0.1634	0.1613	0.377962149465758
0.3647	0.379	0.0273	0.2829	0.2078	0.2053	0.40515105440132
9e-04	4e-04	0.001	0.0052	0.004	0.0031	0.0429393467587677
0.8795	0.8764	0.1369	0.7968	0.6787	0.6825	0.893781365489692
0.8382	0.8265	0.1835	0.7983	0.6108	0.6204	0.932236206161052
0.9573	0.9535	0.3623	0.9284	0.8433	0.8306	0.982961910571016
0.2052	0.1964	0.0249	0.2223	0.133	0.1285	0.392200632697879
0.4351	0.4331	0.0327	0.3874	0.2369	0.2199	0.61389012449043
0.0549	0.0495	0.0132	0.1252	0.0618	0.0617	0.409525187100133
0.1058	0.1068	0.0166	0.1383	0.0825	0.079	0.27919838832386
0.0108	0.0107	0.0024	0.0285	0.0145	0.0117	0.136099974277987
0.1632	0.163	0.0115	0.1708	0.0907	0.0899	0.357187955269463
0.8378	0.8365	0.1372	0.7584	0.6313	0.6294	0.859575299303277
0.0011	8e-04	2e-04	0.0015	0.002	0.0014	0.0112396182430442
0.636	0.6226	0.0632	0.6261	0.4048	0.3898	0.843076450947911
0.8901	0.8806	0.1704	0.8134	0.6735	0.673	0.922874085138575
0.8771	0.8575	0.1587	0.7875	0.626	0.6382	0.910808446058983
0.5997	0.5936	0.0847	0.5269	0.3845	0.3723	0.728199175576071
0.4985	0.5355	0.0769	0.5212	0.3367	0.3355	0.751920905137915
0.0151	0.0167	0.0051	0.0525	0.0227	0.0215	0.222801174472522
0.0102	0.0093	0.0066	0.0413	0.0236	0.0224	0.218745920305627
0.2353	0.2318	0.0117	0.2072	0.1016	0.1106	0.400637502717863
0.1421	0.1398	0.026	0.2342	0.1197	0.1234	0.543170307116461
0.0467	0.0464	0.0016	0.0303	0.0208	0.0197	0.0498621400155612
0.7765	0.7679	0.0873	0.6872	0.5972	0.6028	0.783097274856541
0.3784	0.39	0.0501	0.4012	0.2454	0.255	0.669177986529295
0.0802	0.0752	0.0057	0.0875	0.0413	0.0443	0.201942736746459
0.9923	0.9935	0.3676	0.9859	0.9722	0.9727	0.994717931600985
0.5473	0.5478	0.1436	0.6016	0.4327	0.4308	0.838236083701469
0.612	0.6285	0.0531	0.541	0.3707	0.3671	0.70865627415966
0.6088	0.593	0.0365	0.5065	0.3383	0.3402	0.66652040256594
0.4211	0.4456	0.0527	0.4044	0.2669	0.2625	0.644663034915747
0.7343	0.7254	0.1805	0.6703	0.5299	0.5309	0.845573901811385
0.5562	0.5662	0.0714	0.4703	0.3307	0.3465	0.645111055204461
0.0582	0.0608	0.0188	0.1282	0.0726	0.0665	0.341000911154721
0.5462	0.5502	0.0257	0.4658	0.3421	0.3493	0.57574027762922
0.2695	0.2845	0.0138	0.2396	0.1323	0.1285	0.433548768154993
0.0202	0.0205	0.0128	0.0854	0.0423	0.0374	0.343179447243643
0.8322	0.8277	0.1713	0.775	0.6243	0.5972	0.913103024551796
0.3812	0.3689	0.0175	0.2753	0.1682	0.1697	0.440036795768936
0.0037	0.0032	3e-04	0.0073	0.0022	0.0052	0.0263440269539382
0.054	0.0577	0.0253	0.1585	0.0778	0.084	0.500759514527467
0.0167	0.0146	0.0124	0.0661	0.0339	0.0362	0.306944806545872
0.0043	0.0042	8e-04	0.0101	0.0044	0.0055	0.0530033898874517
0.3345	0.3728	0.0237	0.3376	0.1875	0.1943	0.589143092326428
0.3449	0.3508	0.0724	0.4566	0.273	0.2756	0.750874539277595
0.001	6e-04	0	0.0021	0.0011	7e-04	0.00521957141042724
0.1016	0.1024	0.0036	0.0832	0.0429	0.0427	0.185003463254346
0.134	0.1313	0.0101	0.1139	0.0629	0.0624	0.210717698828497
0.9449	0.9392	0.3949	0.9346	0.8339	0.831	0.987252475912675
0.0218	0.0232	0.0216	0.1051	0.056	0.055	0.385961017425927
0.2945	0.3114	0.0717	0.3575	0.2439	0.2379	0.609098071134724
0.0019	0.0029	6e-04	0.0049	0.0034	0.0021	0.0190771503972175
0.2046	0.2221	0.0501	0.2778	0.1684	0.1654	0.538419937669264
0.3386	0.3593	0.0366	0.2971	0.1964	0.1942	0.481718461706959
0.4693	0.483	0.0679	0.5288	0.314	0.319	0.810924730850593
3e-04	2e-04	4e-04	0.0022	0.002	8e-04	0.0176067688628087
0.1836	0.1892	0.0248	0.188	0.1139	0.1058	0.3766256074505
0.0586	0.055	0.0145	0.125	0.0614	0.0647	0.339917740296358
0.4589	0.4616	0.0537	0.3969	0.2626	0.2754	0.579219362150212
0.0587	0.0643	0.0095	0.0961	0.0476	0.0458	0.21832489496209
0.0766	0.0773	0.024	0.1637	0.0831	0.0846	0.430840571198419
0.412	0.4226	0.0188	0.3348	0.2361	0.2409	0.449335364862852
0.4988	0.4774	0.0315	0.4002	0.2586	0.2656	0.579183623258893
0.2234	0.2436	0.0171	0.2121	0.1275	0.1278	0.362751307915033
0.5545	0.5379	0.0843	0.5475	0.3693	0.3721	0.795542047052134
0.1712	0.1688	0.0322	0.2168	0.1279	0.1321	0.440550531901626
0.6227	0.6331	0.0661	0.5903	0.3793	0.3817	0.797709463063226
0.0668	0.068	0.0261	0.1637	0.0983	0.097	0.50193928619461
5e-04	8e-04	0	0.0013	7e-04	2e-04	0.00434067278831552
0.2984	0.3382	0.0241	0.3182	0.1678	0.1797	0.56721660793853
0.094	0.0995	0.0482	0.2395	0.146	0.1518	0.581399739397352
0.3416	0.34	0.0771	0.4207	0.2685	0.2588	0.696626315369399
2e-04	9e-04	0	0.0032	6e-04	0.0012	0.0174137401477055
0.2104	0.1986	0.0226	0.2641	0.1298	0.1368	0.534158427499103
0.5831	0.5953	0.0692	0.5574	0.3615	0.3737	0.792981319103221
0.5287	0.5374	0.0464	0.4833	0.3146	0.3179	0.737376339338811
0.9297	0.9245	0.1954	0.88	0.746	0.7413	0.95060431649878
0.0277	0.0291	0.0017	0.0245	0.0121	0.013	0.0437306921307274
0.4333	0.4192	0.0355	0.3805	0.2258	0.2356	0.601880619288401
0.2125	0.1908	0.0646	0.3379	0.2121	0.2126	0.635181868686591
0.8111	0.8148	0.165	0.7866	0.5978	0.5957	0.927016479254673
0.8599	0.8723	0.1205	0.7982	0.6947	0.6931	0.879339295333611
0.0977	0.102	0.0259	0.223	0.1096	0.1092	0.580930067271593
0.9801	0.9827	0.3255	0.9705	0.9487	0.9449	0.986445797723061
0.0028	0.0031	0.0051	0.0186	0.0114	0.011	0.143614034312669
0.4513	0.4446	0.0632	0.4766	0.2954	0.2947	0.726732095124893
0.2353	0.2169	0.012	0.1829	0.1109	0.108	0.307259537385174
0.4063	0.4185	0.0615	0.3943	0.2618	0.2575	0.600021088615837
0.0328	0.029	0.0106	0.1052	0.0522	0.0497	0.350950959264602
0.7431	0.7479	0.1462	0.6749	0.5191	0.5167	0.859251326982001
0.1033	0.1065	0.0052	0.1132	0.0505	0.0505	0.260640263107909
0.4251	0.4249	0.0231	0.3403	0.2164	0.2131	0.522209222691412
0.0087	0.006	0.0062	0.0366	0.017	0.0183	0.208875203941093
0.1187	0.1488	0.0412	0.2896	0.1623	0.1593	0.681430973496567
0.8675	0.8562	0.1803	0.8163	0.661	0.6689	0.933475706593821
0.5848	0.5798	0.1475	0.6632	0.4809	0.474	0.906224590577689
0.534	0.5145	0.0854	0.5276	0.3624	0.3489	0.767899562613659
0.4243	0.3904	0.0443	0.3931	0.2484	0.2404	0.616929848176736
0.3521	0.3422	0.0329	0.3612	0.2068	0.2109	0.607550522330911
0.3244	0.3524	0.0575	0.4046	0.2428	0.249	0.673205009748087
0.0445	0.0434	0.0086	0.0853	0.0389	0.0395	0.248997366412132
0.1331	0.1322	0.007	0.1077	0.0629	0.0564	0.192933646261718
0.4294	0.427	0.149	0.5725	0.4025	0.4036	0.843753573290805
0.0808	0.0787	0.0122	0.1205	0.0663	0.0649	0.282351621380774
