FMP	RMP	FPP	UPP	ANPP	NPP	ANCOVA
1e-04	0	0	0	0	0	3.23365709760857e-05
0.0083	0.0099	0.0014	0.0059	0.0033	0.0049	0.0510063224859225
0.0023	0.0026	3e-04	0.0016	5e-04	0.0011	0.015089806416518
0.0031	0.0029	3e-04	0.0028	0.0025	0.0016	0.0181910488240838
1e-04	0	0	3e-04	1e-04	3e-04	0.00201638741698429
0.1177	0.1236	0.0153	0.0805	0.0548	0.0548	0.256189086311798
0.0015	0.0013	5e-04	9e-04	0.0013	0.0012	0.0115531294283583
0	0	2e-04	4e-04	0	2e-04	0.00100586806302395
2e-04	2e-04	2e-04	8e-04	5e-04	0	0.00351057184137083
0	1e-04	0	1e-04	1e-04	0	0.00047069719463896
3e-04	4e-04	0	1e-04	2e-04	0	0.00230239379870306
5e-04	5e-04	0	2e-04	3e-04	1e-04	0.00372451314075684
1e-04	0	0	0	0	1e-04	0.000415919626665288
0	1e-04	0	0	0	0	0.000933165079419455
0	0	0	0	0	0	0.000459828315741877
0	0	0	0	0	0	1.83082220454317e-05
0	6e-04	1e-04	2e-04	1e-04	1e-04	0.0012797051919553
2e-04	7e-04	0	0	3e-04	1e-04	0.00109307599081521
0.0236	0.0188	0.0022	0.0148	0.0097	0.0112	0.0965622786553199
7e-04	1e-04	0	1e-04	2e-04	0	0.00183688167634696
0.0082	0.0068	0.001	0.0031	0.0046	0.0053	0.0368182874946986
2e-04	0.0011	0	2e-04	2e-04	3e-04	0.00428036111295376
1e-04	1e-04	1e-04	0	1e-04	0	0.000983040125483705
5e-04	0.0012	5e-04	5e-04	7e-04	4e-04	0.00632651409090653
0.0014	0.0012	3e-04	0.0015	0.0014	9e-04	0.0133240325835907
0.0016	0.0015	5e-04	0.002	0.0012	9e-04	0.0123318767836401
0.0064	0.0043	2e-04	0.0039	0.0025	0.0027	0.0320837289814234
0.0025	0.0015	2e-04	0.0013	0.0013	0.001	0.0138494669106807
0	4e-04	0	3e-04	3e-04	1e-04	0.00225626246514616
