w	FMP	FPP
0.93	0.195847372228428	0.13903944032893
0.79	0.246881067649028	0.148972172164461
0.97	0.164136094452681	0.140444037338658
0.99	0.147378222981681	0.138374167409104
0.83	0.239210217184858	0.144244857680076
0.27	0.284913241639768	0.195559599322007
0.53	0.289174140142848	0.166715565014533
0.24	0.275061270769607	0.196528218345352
0.98	0.158914762736069	0.139959703562377
0.5	0.285435552810395	0.168039213464941
0.55	0.284797756099919	0.167565535039489
0.41	0.291729995683231	0.178896242301644
0.63	0.283256466547566	0.161381042306859
0.57	0.282467058003389	0.164560662558905
1	0.138011294015781	0.13922174708174
0.43	0.292813559446519	0.175718545779542
0.64	0.278066701644642	0.154470279768664
0.15	0.270710399396413	0.209745321654129
0.19	0.275952971461615	0.204625183199316
0.39	0.288111164638079	0.180934759186697
0.76	0.259550602019287	0.151911876675498
0.73	0.262559354383369	0.151491247281667
0.1	0.258001020406606	0.214534733717373
0.25	0.280361406657055	0.194663520323411
0.3	0.284674709695837	0.189536002842601
0.21	0.27128863459411	0.203260583267617
0.8	0.248976564891311	0.148209845159629
0.96	0.173454901492989	0.138947546553249
0.34	0.283804457430974	0.187153932655501
0.17	0.274288277828103	0.210069941543109
0.48	0.289709469769871	0.170464759197667
0.65	0.276801279341217	0.158460891963616
0.08	0.260429336262823	0.224812341921476
0.92	0.202740468758287	0.141342063559389
0.11	0.260488384387501	0.212625175365653
0.23	0.272853874874608	0.203120275511366
0.29	0.280477039122504	0.190118726171809
0.66	0.275935862630744	0.157949107816025
0.46	0.291311364447258	0.177788554399441
0.49	0.286309781442261	0.172068083183133
0.95	0.181521905191174	0.140423791589312
0.03	0.250364667602189	0.234965262468228
0.69	0.266340072011547	0.153905768531762
0.7	0.26846529638053	0.15251151714934
0.35	0.287043260134593	0.183196450986157
0.59	0.282149887574826	0.164923729583629
0.84	0.231768956026483	0.143830607827601
0.12	0.270719179661223	0.221498799353281
0.33	0.286932227876149	0.18519246596043
0.52	0.285730707123079	0.165730337372025
0.56	0.283609046088389	0.166638655453156
0.28	0.28337902997138	0.189470270647995
0.6	0.278569439225778	0.161676431404884
0.61	0.281250944821256	0.160312601269816
0.45	0.288052909587159	0.176594931323876
0.54	0.284189111148708	0.166474030456281
0.91	0.202827913130878	0.142783497403033
0.77	0.257016136067379	0.149355397498287
0.62	0.288190208861034	0.159756534781854
0	0.241910657684106	0.244239758904206
0.78	0.253666277185111	0.151084256275497
0.86	0.224016968573053	0.144753706971044
0.67	0.276482794538562	0.157341138198702
0.14	0.268380645290251	0.215734608616182
0.68	0.27225479954775	0.15570263160525
0.85	0.230652702258289	0.14552431395564
0.04	0.252341114929352	0.231093208278847
0.06	0.252004368142876	0.231506134039321
0.38	0.288765573145304	0.181472842699799
0.42	0.285811298100487	0.176204167640145
0.89	0.215391279582271	0.141254042312182
0.31	0.28073700970342	0.188912482127209
0.47	0.289388528108867	0.17365943500581
0.44	0.285397257572359	0.175531809909667
0.87	0.226802943865463	0.144105741311637
0.75	0.259289642743429	0.153168827111642
0.58	0.28612482159148	0.163203295546684
0.05	0.245941000997439	0.230044648314657
0.2	0.276659863640773	0.200777800106136
0.94	0.184544090628151	0.140372045022987
0.22	0.278798773653698	0.205161281000479
0.07	0.252527959856785	0.225008136473398
0.09	0.259362701597477	0.221624632345831
0.82	0.237808785056903	0.14966040044166
0.01	0.245988648346899	0.241716628197396
0.13	0.265853972296205	0.211314083589909
0.72	0.267143553820999	0.154825936418233
0.37	0.287494083297083	0.182428998657959
0.74	0.26304653866556	0.153643594021649
0.16	0.269439961045286	0.211802845743958
0.26	0.276502512729604	0.196876456427898
0.32	0.283639072071468	0.188515312844066
0.02	0.245769092600313	0.238139380596878
0.4	0.290658533642378	0.180479176181508
0.18	0.272992141192533	0.207307142927954
0.81	0.246583263556818	0.148441609566301
0.36	0.286358544509807	0.184238033474992
0.9	0.208565337561091	0.144190893647907
0.71	0.267760143257113	0.152938069669096
0.88	0.213729939804703	0.144894923259591
0.51	0.289288714766586	0.167470626256174
