w	FMP	FPP
0	-0.178875922782199	-0.18524467501298
0.47	0.239316576310909	0.133923730790148
1	0.250057255100986	0.253164565574179
0.24	0.203087204450592	0.0372477075565889
0.98	0.25176237467114	0.245151280841454
0.18	0.154071156270325	0.000566256336961755
0.97	0.253989596630034	0.249738716365548
0.96	0.248502400759873	0.237120079593162
0.39	0.224006455405491	0.102422493347097
0.46	0.223189907087318	0.136875377915974
0.73	0.258932118497129	0.203625044069195
0.69	0.244273109189202	0.191422500361385
0.99	0.254741919425761	0.251535894117498
0.25	0.207292645425281	0.0292683315479529
0.63	0.241253009266181	0.179652621057216
0.23	0.198684657302044	0.0341678894933927
0.52	0.2391313402842	0.150204266487093
0.13	0.132504390997703	-0.0382664305571645
0.8	0.244748617681549	0.210815514679691
0.76	0.249083932431469	0.214707818858754
0.06	0.0393807882321286	-0.10237751378643
0.2	0.196799281177228	0.0143655274870978
0.75	0.246048119188472	0.207454217325527
0.33	0.228825169899129	0.0863630484750344
0.53	0.232740184019755	0.150316276613052
0.77	0.247279035733988	0.212987217572261
0.95	0.24125306133716	0.248999609555899
0.08	0.0849044790828096	-0.079790207002451
0.4	0.228130964561497	0.113668105376681
0.49	0.234508939353988	0.140485620100687
0.28	0.217091256915458	0.0424242964636696
0.37	0.207332728078614	0.091761580060389
0.6	0.229493109104009	0.172088131445186
0.91	0.24578172278956	0.238064829535663
0.71	0.245141828768579	0.197598179679938
0.7	0.238778191917576	0.189337361363172
0.67	0.244560240121955	0.179446514910897
0.43	0.237249245424041	0.124359402808434
0.5	0.232791107940414	0.138761612842706
0.14	0.149983183966404	-0.0222318109765578
0.02	-0.0657915436994891	-0.133197959240382
0.22	0.186678879740859	0.0375964486580825
0.41	0.23559669203395	0.110710546390134
0.58	0.246987083432966	0.165539137434493
0.94	0.251922183603813	0.240641235432946
0.45	0.239874371262034	0.133466643825372
0.32	0.219879830004354	0.0709123679985448
0.31	0.236938010927298	0.0598173330596703
0.21	0.19582131564053	0.0217167543973417
0.68	0.243840374796288	0.192022483096981
0.86	0.247769495917434	0.221785092923746
0.26	0.207836739533914	0.0584934358927727
0.83	0.24646504073152	0.206642560567425
0.65	0.246546144367253	0.188639502735315
0.17	0.169520694489318	-0.0232985980495539
0.29	0.226908528806886	0.0672945999626506
0.15	0.163444333758708	-0.0162484997949964
0.04	-0.0401268871328127	-0.128081778295451
0.78	0.249754869679574	0.214131945302865
0.64	0.257895189254621	0.179718394831651
0.11	0.118922213937112	-0.0587939870340237
0.44	0.23016949431159	0.123503710472047
0.48	0.245440858900266	0.138310408334109
0.56	0.241492700852621	0.163736514513132
0.82	0.251025048260124	0.222424355887811
0.35	0.21072690352121	0.0920503603603983
0.42	0.235466151202747	0.11347319831442
0.36	0.218401852322303	0.106611056916862
0.74	0.236039079010744	0.20761098098948
0.16	0.159996118181764	-0.0105680977651298
0.19	0.186404527826893	0.00504234393859367
0.62	0.245991891252732	0.175470431734189
0.92	0.248237192417177	0.241783197583741
0.38	0.225497061629094	0.0984146127896309
0.93	0.248270207216326	0.241149407277661
0.66	0.245696478680392	0.187023982424615
0.57	0.239143798878078	0.159882821534016
0.05	0.0226708642995032	-0.111589652236187
0.54	0.240274323646709	0.153264537810707
0.81	0.245994504949802	0.221441893832641
0.79	0.243369406147548	0.213865673073061
0.03	-0.0424657688508797	-0.133369092650667
0.27	0.214354662727493	0.0429072617137654
0.12	0.133553287859047	-0.0392449079946113
0.09	0.0969179354191802	-0.0761636746571353
0.1	0.0976936379202769	-0.0626883245224484
0.85	0.249141591309436	0.228119197802438
0.84	0.242755816451215	0.230643936920618
0.01	-0.120753006156154	-0.150270863947224
0.87	0.253136718389564	0.224310477111224
0.61	0.243302332560207	0.171828408973036
0.88	0.254287305533099	0.228520295706489
0.89	0.24947484304203	0.233822180326115
0.3	0.209801061865991	0.0688807148624492
0.34	0.233516167286228	0.102311074365509
0.07	0.0399941281403276	-0.0962944093175818
0.59	0.240572952147368	0.169945808373612
0.9	0.253777035611487	0.237667136505831
0.72	0.239250418460826	0.206076855321014
0.55	0.236759460481839	0.159670289639034
0.51	0.236971167449218	0.148039733942306
